user_id,user_name,user_fans
37cpUoM8hlkSQfReIEBd-Q,Mike,12497
hizGc5W1tBHPghM5YKCAtg,Katie,3642
Hi10sGSZNxQH3NLyWSZ1oA,Fox,3493
JjXuiru1_ONzDkYVrHN0aw,Richard,3243
j14WgRoU_-2ZE1aw1dXrJg,Daniel,3138
VHdY6oG2JPVNjihWhOooAQ,Jessica,2627
iLjMdZi0Tm7DQxX1C1_2dg,Ruggy,2547
lt7bNHl-TXziny4FETu8nA,Megan,2451
fgwI3rYHOv1ipfVfCSx7pg,Emi,2424
ITa3vh5ERI90G_WP4SmGUQ,Peter,2388
UsXqCXRZwSCSw0AT7y1uBg,Carl,2290
m07sy7eLtOjVdZ8oN9JKag,Ed,2251
CdeyZZ6ZGhvs7YCzVheeRg,Emma,2172
nkN_do3fJ9xekchVC-v68A,Jeremy,2107
AHRrG3T1gJpHvtpZ-K0G_g,Brittany,2086
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073
ysCBsXWPB-LAiewVS3jZfQ,Jando,2018
NfU0zDaTMEQ4-X9dbQWd9A,Cara,1949
peuxbSQwXed-81cSqL7Ykw,Brittany,1927
djxnI8Ux8ZYQJhiOQkrRhA,Abby,1806
wEE-YMx5pmSuagLtNxMPKA,Stephanie,1761
WwulXySQN8t2hwqH_yWurA,Niki,1746
zFYs8gSUYDvXkb6O7YkRkw,Joyce,1662
JADdo9NEeO5Az9aOYbyvZA,Manda Bear,1648
58yXn5Y4409kc9q88YwU6w,Kimi,1620
G9Vb6yQ047TC3O_-GG4WZA,Connie,1585
GFyA9ULGAeD-xZEPto2y7A,Helina,1570
AbMjnKOwg736fcIu8apuyQ,Michael,1563
o5STsEtfvD1Ig0J7Z-1uxA,Alex,1532
giJqvuH8EC62Hi5WboZ08w,Dawne,1493
8k3aO-mPeyhbR5HUucA5aA,Victor,1462
hdzTAN8DGJKRddkZ8279JQ,Andi,1451
3mNz5nQFTIBQm0oU5mBR0w,Michelangelo,1435
23J4vG9_xxxdnmi8CBX7Ng,Joan,1425
IU86PZPgTDCFwJEuAg2j7g,Danny,1409
IDVFG1pNSHIHoVuoLuZpcQ,Andy,1377
B7ecAeAIrXg7sgmabS38pg,Stephy,1375
QnIrewrXxFnssw_gG1gF-Q,Sarah,1366
q_QQ5kBBwlCcbL1s4NVK3g,Jane,1357
ET8n-r7glWYqZhuR6GcdNw,Michelle,1353
pnTiEaqM4slogpY97n9Kvg,Jonathan,1320
I2XEhv9zBeAJcwYIrnMf1g,Matt,1312
cufhYFdyrUAt4SWe-m0grQ,John,1309
i_DR3vdE73nVm2GlMbGpGA,Nate,1295
SQXsow-nuLYYQnTcsIedIA,Diandra,1284
nxWrhF_hyX0wwjrEkQX8uQ,Ryan,1260
vHc-UrI9yfL_pnnc6nJtyQ,Michael,1251
U4INQZOPSUaj8hMjLlZ3KA,Michael,1238
NNL1zLTP2J_SOputgoPYeQ,Alex,1219
