name,stars
Gangnam Style Restaurant Tampa,5.0
Galbiya,5.0
Zenwich - St Louis,4.5
Dosi Rak,4.5
Ripplewood Whiskey & Craft,4.5
Rocket Bowls,4.5
Kobawoo Express,4.5
Cafe Clover,4.5
Oriental Spoon,4.5
Korea House,4.5
You Korean And Japanese Best Cuisine,4.5
Machef,4.5
Manna Kitchen,4.5
Eden Korean Restaurant,4.5
BBQ Chicken,4.5
Sa Ri One Kitchen,4.5
Nongbu Korean Eatery,4.5
Korean Garden Grill,4.5
Sapporo,4.5
Bobo's Sports Bar,4.5
Bistro SouthEast,4.5
DuBu,4.5
Pelicana Chicken,4.5
K-Bop STL,4.5
Manna,4.5
Yanaki Japanese Restaurant & Asian Cuisine,4.5
Dooriban,4.5
Mama Lee's Kitchen,4.5
Stinky Bunz,4.5
Bab Café - Reno,4.5
NoLaKorea Korean Restaurant,4.5
Omoni Fresh Fast Korean Grill,4.5
Chicken Seven,4.5
Coco Deep Fried Chicken,4.0
Tae Hwa Kwan,4.0
KAMI Philadelphia,4.0
Tampopo,4.0
Don Day,4.0
Kimcheese,4.0
Kimchi Time,4.0
Koryo Korean BBQ,4.0
Korea House,4.0
Don Chicken,4.0
Kokoriko,4.0
KO Modern Korean Cuisine,4.0
Ijji 4,4.0
Washoku Bistro,4.0
Korean Grill,4.0
Go Hyang San Chun,4.0
Pelicana Chicken,4.0
Country Coco,4.0
Tha Joint Sushi & Grill,4.0
Koryo Korean BBQ,4.0
Waker Chicken,4.0
Korean Grill House,4.0
Kim Chi Korean Delight,4.0
Dae Bak,4.0
Peter Chinn's Korean BBQ Tacos,4.0
Seoul Korean BBQ,4.0
Songsan Korean BBQ,4.0
Sakana Express,4.0
Sa Ri One Lunch Box,4.0
Anju St. Pete,4.0
Federal Donuts,4.0
Assi Plaza,4.0
Dong Huan Restaurant,4.0
Hmart,4.0
Pocha Seoul,4.0
Lai Lai Brothers,4.0
Dae Jang Geum,4.0
To Dam Gol Korean Restaurant,4.0
Sa Ri One Korean Restaurant,4.0
Doma,4.0
U-City Grill,4.0
Takara Sushi,4.0
Dookbaeki Hot Stone,4.0
Shogun Sushi,4.0
Chi Mc King,4.0
Musictown Corp,4.0
Gangnam Street Food,4.0
K-Fusion Korean BBQ,4.0
Koko Korean BBQ,4.0
The New Il Mi Jung,4.0
Seoul Taco,4.0
Bushi,4.0
Gangnam,4.0
Takara Sushi & Sake Lounge,4.0
Soy and Pepper,4.0
Kimchi Guys - Laclede's Landing,4.0
JinJu Korean Grill & Sushi,4.0
KOGI Korean BBQ,4.0
Bi-Bap Fusion Rice Bar Sushi,3.5
Jian Korean Cuisine,3.5
CoreLife Eatery,3.5
Bonchon West Chester,3.5
Byong Ga,3.5
Sunny Asian Restaurant,3.5
2 Tha Joint Sushi,3.5
BBQ Chicken PA,3.5
Hansik,3.5
Mama's House,3.5
Rolls & Spicy,3.5
Rice & Mix,3.5
Izumi,3.5
Kimchi Guys - Washington University,3.5
Surah,3.5
Kalbi Asian Bistro,3.5
Arirang Korean Cuisine,3.5
Magnificent Garden,3.5
Friends Cafe,3.5
Gin Korean BBQ,3.5
Asian Kitchen Korean Cuisine,3.5
Wild Wasabi,3.5
Lee House,3.5
Korea Garden Restaurant,3.5
Sapporo 2,3.5
Koja Grille,3.5
Tofu House,3.5
Pastoral Korean Restaurant,3.5
Sang-Hi,3.5
Han Chon Restaurant,3.5
Pho Bang Restaurant,3.5
Rice Market and Restaurant,3.0
Corea House,3.0
Won Jung Gak,3.0
Pei Wei Asian Kitchen,3.0
MIGA,3.0
Badass Jack's Subs & Wraps Company,3.0
b.b.go,3.0
Namsan,3.0
Takamatsu,3.0
Miga Korean BBQ & Sushi,3.0
Seoul Korean Cuisine,3.0
Sangkee Noodle Bar,2.0
Pocha Pocha Korean BBQ,1.5
