name,stars
Mama Asha Cafe,5.0
The Horn,5.0
Ethio Coffee House,5.0
Tanjariné Kitchen,5.0
Alafia West African Cuisine,4.5
Ofure Palace,4.5
Kibrom's Restaurant,4.5
Narayanni's,4.5
Mumbai Dakar Restaurant,4.5
Anna Restaurant,4.5
Suya Suya West African Grill,4.5
Zagol Ethiopian Restaurant,4.5
Zemam's Too,4.5
Taste Africa,4.0
Musus' Kitchen,4.0
Ethio Cafe & Carry Out,4.0
African Small Pot,4.0
K'S Kitchen,4.0
Jiallo's,4.0
African Palace Bar And Grill,4.0
Ecowas African Restaurant,4.0
Kings and Queens Liberian Cuisine,4.0
Delicious African Cuisine & Bar,4.0
Diarra's Cuisine,3.5
Angie's Kitchen,3.5
Gojjo Bar & Restaurant,3.5
Precious Kitchen,3.5
Simba Tropical Grill,3.5
Cracker Barrel Old Country Store,3.5
Humdingers,3.5
Cauldron Jamaican Restaurant,3.5
Samosa House,3.5
Naana Xtra-O Restaurant,3.0
Whiskey Joe's Bar & Grill - Tampa,3.0
Africans & Jamaicans Kitchen,2.5
Le Mandingue,2.5
A & H African & Jamaican Restaurant,2.5
Miracles Jamaican Restaurant and Bakery,2.5
Cracker Barrel Old Country Store,2.5
Faaji,1.5
