name,stars
STUFT Gourmet Foods,5.0
Dana's Cafe,5.0
The Daisy Restaurant,5.0
Egg Haven Cafe,5.0
Graveyard B&G,5.0
Soy Cubano,5.0
The Arch,5.0
Berkeley Beach Club,5.0
Uptown Eats,5.0
Findy Cigar Company & Hookah Lounge,5.0
Latin Bowl Restaurant-Brandon ,5.0
Pupuseria Sabor Latino II,5.0
Empanada Brothers,5.0
Heritage American Bistro,5.0
Splendid Pig,5.0
Casey's In The Quarter,5.0
Mr & Mrs Empanada,5.0
Philadelphia Soft Pretzels Inc,5.0
Ryan's Country Store,5.0
MudMan Food Truck,5.0
Say Cheese Deli and Bistro,5.0
Super Tequeno,5.0
Flan Factory,5.0
Primary Plant Based,5.0
The Pitted Olive,5.0
Bulrush STL,5.0
Dinner Time Stories,5.0
Backstage Dueling Piano Bar,5.0
The Restorative,5.0
Destination Café,5.0
S&J Southern BBQ,5.0
Union Market,5.0
Moto Cafe,5.0
3rd Rock Tavern,5.0
Corner Tap Room,5.0
3 C's Catering,5.0
The Gateway Grill,4.5
Sarvida,4.5
Donnie B's Local Eatery and Spirits,4.5
The Honor Bar,4.5
Bar 29,4.5
Chin Brothers Restaurant,4.5
Tartareperia 18.64,4.5
Tyrone Restaurant,4.5
Big Ed's Alley Inn,4.5
Fire By The Monon,4.5
Edge Brewing Pub On 10th,4.5
Sweet Nola Cuisine,4.5
Vernick Coffee Bar,4.5
Aleida's Kitchen,4.5
Max Well - New Orleans,4.5
Love At First Bite,4.5
West Avenue Pizza & Grill,4.5
Ruby Slipper - New Orleans,4.5
First Watch,4.5
Happy Fish,4.5
Terri's Cafe,4.5
8th & Roast,4.5
Root & Bone Indianapolis,4.5
Diamond Street Bar & Grill,4.5
Coffee House Too Cafe,4.5
Yellowbelly,4.5
Fresh to Order,4.5
SB Sunshine Cafe,4.5
Maïs Arepas,4.5
Butcher and Singer,4.5
Clear Sky on Cleveland,4.5
Hilary's Roadhouse Diner,4.5
Phil A Mignon,4.5
Sal's Bodega Charcuterie,4.5
Sherwood Cafe Family Restaurant,4.5
Chick-fil-A,4.5
Joe K's,4.5
Digby Mini Market & Restaurant,4.5
Kitchen87,4.5
Katie's Restaurant & Bar,4.5
CoreLife Eatery,4.5
Hurc's,4.5
The Tutored Chef,4.5
Room Four,4.5
La Prima Catering,4.5
Pochi,4.5
Food Lovers Grill,4.5
Caracas Arepas Grill,4.5
Pepper on 23,4.5
Squatters Cafe,4.5
Grillsmith - Midtown South Tampa,4.5
Loaded Elevated Nachos,4.5
Chef Dan's Southern Comfort Restaurant,4.5
El Coqui Puertoriqueno,4.5
Ernest's,4.5
Chef JJ's Downtown,4.5
Slow Burn Hot Chicken,4.5
Draft Picks,4.5
Miami Grill,4.5
Stacked STL,4.5
Dairy Dip,4.5
Antigua Cocina Guatemalteca,4.5
Niche,4.5
Antigua Guatemala,4.5
The Mess Hall Canteen and Cafe,4.5
The Latest Dish,4.5
Wired Beans Cafe,4.5
The Lucky Cheese,4.5
Liberty Cheesesteaks,4.5
Kosmo Pizza & Grille,4.5
JJ Cooper's Diner & Ice Cream,4.5
White House Tajine,4.5
Crescent City,4.5
Kitty's Luncheonette,4.5
Square Rootz Deli,4.5
State Street Wine Bistro,4.5
Farmstead,4.5
Miles Table,4.5
Village Vine,4.5
The Cellar,4.5
Stir,4.5
Charcoal Cowboys BBQ,4.5
Memories Bar & Grill,4.5
Jax Kitchen,4.5
Events By Rincon,4.5
Home Plate Grill,4.5
Pickford's Counter,4.5
Big Sky Cafe,4.5
Utah Station,4.5
Alpha Brewing Company,4.5
Yogulatte,4.5
Alma Llanera Venezuelan Food,4.5
Great Full Gardens - South,4.5
Herculean Meal Prep,4.5
Nook A Paleo Influenced Diner,4.5
Silkelicious Mac,4.5
Elmwood,4.5
Le Peep,4.5
Crave Kitchen & Bar,4.5
Hiptown Grill,4.5
Chef Vargas,4.5
Square One Eatery,4.5
South Helm,4.5
Truck Norris,4.5
Gils K9 Bar,4.5
Caposey's Whole Works,4.5
Boston Commons,4.5
Fourk Kitchen,4.5
Azucar Morena,4.5
V9 Eats,4.5
Barb's Pies,4.5
Top Hog,4.5
The Cottage Bakery & Cafe,4.5
Maggie's Lunchbox,4.5
Oxford Exchange,4.5
3 Dot Dash,4.5
Pollo Supremo,4.5
De La Coeur Café et Pâtisserie,4.5
Mother’s Ruin,4.5
Fairview Lounge,4.5
Stackers,4.5
Duos Kitchen,4.5
West End  Bistro,4.5
Home Cooking Cafe,4.5
Lock 29 Mont Clare,4.5
Solstice,4.5
O'Briens Grille,4.5
Lefty's Irish Pub and Restaurant,4.5
Anibel's,4.5
The Kitchen Table Cafe,4.5
El Manjar,4.5
Soup Kettle Grille,4.5
Open Range Bar & Grill,4.5
Love & Honey Fried Chicken,4.5
Handel's Homemade Ice Cream,4.5
Bastion,4.5
Chick-fil-A,4.5
4th St Bistro,4.5
Cerealholic Cafe and Bar,4.5
Modern Bar and Restaurant,4.5
CoreLife Eatery,4.5
Fannie Mae's,4.5
Julios Latin Grill,4.5
Scratch Pop Up,4.5
Central Melt,4.5
Graze Nashville,4.5
IHOP,4.5
Marlene's Place,4.5
Stonehouse Restaurant,4.5
The Hidden Grill2go,4.5
22nd Street Coffee,4.5
The Patterson House,4.5
Public Greens Downtown at Cummins,4.5
Music City Chicken,4.5
Chivanada,4.5
Bluebeard,4.5
Rooster & the Till,4.5
Sasquatch Tavern & Grill,4.5
Zasu,4.5
The Fat Rabbit Pub,4.5
La Fiebre Del Sabor Criollo,4.5
Chick-fil-A,4.5
Timeout Entertainment and Grill,4.5
Drake's Place Restaurant & BBQ Smokehouse,4.5
Pico Rojo,4.5
The Grill At Morris Bridge,4.5
Dig,4.5
First Watch,4.5
Artillery Brewing,4.5
5 Points Market & Restaurant,4.5
Pearl in the Grove,4.5
Boucherie,4.5
Wing Boyz,4.5
The Stuffed Crab,4.5
Swallow,4.5
The Parlor,4.5
The Off Track Saloon,4.5
Liz's Kitchen,4.5
Dorcea,4.5
Hearthside,4.5
Wooden Spoon,4.5
Rodriguez Peruvian Restaurant,4.5
The House,4.5
Upperline,4.5
Mariposa,4.5
Guthries,4.5
Arena Bar,4.5
Mission BBQ,4.5
Park Place Café and Restaurant,4.5
Great Harvest Bread Co,4.5
Prep & Pastry,4.5
Cole's Kitchen,4.5
West End Alley,4.5
Studio C Indy,4.5
Pluck Wines,4.5
Outlaw Saloon,4.5
Cook and Shaker,4.5
The Corner Chill & Grill,4.5
The Governor,4.5
Pam's Country Restaurant,4.5
Hugos Restaurant,4.5
The Centennial,4.5
Fo Cheezy Twisted Meltz,4.5
First Watch,4.5
Pour House at Grand Central,4.5
The Carversville Kitchen,4.5
Waffle House,4.5
Ruby Ann's,4.5
Louis XVI Restaurant,4.5
Pascal's Artisan Bistro & Gourmet Coffee,4.5
The Grill  Smuckers,4.5
Luv Fresh,4.5
Shack Breakfast & Lunch,4.5
Syrenka Luncheonette,4.5
Last Call,4.5
Kahootz Steak & Alehouse,4.5
Millers Luncheonette,4.5
Lemmons,4.5
Fo Cheezy Twisted Meltz,4.5
Carmen's Kitchen,4.5
Annamarie's Place,4.5
Gauchos Argentinian Steakhouse,4.5
Salt + Smoke,4.5
Recess,4.5
Cafe Europa,4.5
Pats Select Pizza | Grill,4.5
Fable Lounge,4.5
Baja Cafe,4.5
Home Cuban Cafe,4.5
Empanada World,4.5
Charlie & Barney's Bar & Grill,4.5
Dante's Kitchen,4.5
373 American Grill,4.5
Henry's Cafe,4.5
Mac's Local Eats,4.5
Young Cooley's Wing Heaven,4.5
Alma Cafe,4.5
Fat Boy Pantry,4.5
Ground,4.5
Verbena BYOB,4.5
Miss Hazels Kitchen,4.5
Vida,4.5
The Club House Restaurant,4.5
Gallier Restaurant & Oyster Bar,4.5
Dog On It,4.5
Waffle House,4.5
Park Grill,4.5
CORE Kitchen & Wine Bar,4.5
Stoogez,4.5
Faubourg Bistro,4.5
True Food Kitchen,4.5
J's Creole Wings,4.5
Freret Beer Room,4.5
Selena's Salvadorian,4.5
El Rincon Criollo - The Latin Corner,4.5
Trinity Coffee,4.5
Neighborhood Cafe,4.5
The Note Bar,4.5
Bur Bun,4.5
Doggie Mac's by Chef B,4.5
Helix Wine Bar,4.5
The Country Crock Restaurant,4.5
Celebrations on Market,4.5
Victoria’s Latin Restaurant,4.5
Bolay,4.5
City Cafe East,4.5
Miracles To Go,4.5
Rybrew,4.5
Lucky Dog Bar & Grill,4.5
Barbareño,4.5
Memphis Market & Grill,4.5
Juliana's Kitchen,4.5
City Limits Sports Bar & Grill,4.5
Two Chicks,4.5
Dutch Wagon Amish Market,4.5
Mid-City Yacht Club,4.5
We're On A Roll,4.5
Kranky Chef's,4.5
State Street Kitchen & Drinkery,4.5
Ninth Street Deli at Howards,4.5
Gaby's Family Restaurant,4.5
The Inn at Barley Sheaf Farm,4.5
BrightSide Artisan Comfort Cafe,4.5
Clear Sky Cafe,4.5
Occasionally Yours,4.5
Village Bar and Kitchen,4.5
Breaking Bread,4.5
The Sequel Cafe,4.5
Carre Restaurant and Bar,4.5
S Bar,4.5
Heirloom Doylestown,4.5
The Point on Penn,4.5
Oak Steakhouse Nashville,4.5
Billie Jean,4.5
Porch & Proper,4.5
Marble's Cafe,4.5
Detroit Coney Island,4.5
D'licious Caffe,4.5
The Perk,4.5
Centennial Cafe,4.5
Waffle House,4.5
Anthony Wayne House,4.5
Pinellas Grill,4.5
Restaurant Andiario,4.5
Kumars Restaurant,4.5
Monaghan's Irish Pub,4.5
Cafe Americana,4.5
Roux Carre,4.5
Fharmacy Nola,4.5
Sonata Restaurant,4.5
Pollo Garden,4.5
Chatterbox Family Restaurant,4.5
Salt + Smoke,4.5
Chef Oya's The Trap,4.5
Late Harvest Kitchen,4.5
Copper Bistro,4.5
The House of William and Merry,4.5
The Eagles Nest Tavern,4.0
Bisbee Breakfast Club,4.0
Cavanaugh's Restaurant,4.0
Grandma Sally's,4.0
Paul's Market,4.0
Seahorse,4.0
Bonefish Grill,4.0
Pig & Pickle,4.0
Hector's Mexican Food,4.0
The Independent,4.0
Five Guys,4.0
Dooley O'Toole's,4.0
Gene's PO-Boys,4.0
5th Ave Grill and Bar,4.0
The Oyster Bar,4.0
Oscar's Cafe,4.0
Rusty's Bistro,4.0
The Monarch,4.0
The Continental Restaurant and Martini Bar,4.0
Wellington At Seven Hills Club House,4.0
Sophia's,4.0
Roy,4.0
Milo's Tavern,4.0
Brasa's Restaurant,4.0
Clary's Bar & Grill,4.0
Iron Hill Brewery & Restaurant,4.0
Café at The Square,4.0
Widow Brown's Restaurant,4.0
Little Baby's Ice Cream,4.0
Pan's Soul Food,4.0
Waffle House,4.0
Flyte World Dining & Wine,4.0
Mom's Country Kitchen,4.0
Chris' Pancake & Dining,4.0
Focaccias,4.0
Ombi Restaurant,4.0
The Casino Grill,4.0
Bandana's Bar-B Q - Collinsville,4.0
West End Grill & Pub,4.0
Montecito Wine Bistro,4.0
Saucy's BBQ,4.0
Rhythm and Brunch,4.0
Petruce Et Al,4.0
Caseys Craft Bar Kitchen,4.0
Roze Pony,4.0
Dickey's Barbecue Pit,4.0
World Of Beer,4.0
Angel's Restaurant,4.0
The Marquee,4.0
Mimi Blue,4.0
Box Burger,4.0
Puddlers Kitchen & Tap- Conshohocken Brewing,4.0
Stormies Too,4.0
Tavern On the Hill,4.0
Radius 10,4.0
The Grill at The Ritz-Carlton,4.0
Memphis Blues Barbeque House,4.0
Listening Room Cafe,4.0
47 Scott,4.0
Tenth Floor Grill,4.0
The Corner Bar,4.0
Inca's Peruvian Cuisine,4.0
Burger Republic,4.0
13th Street Pub & Grill,4.0
Smoked Tex Mex,4.0
State & Fig,4.0
Get Happy Pub,4.0
1808 Grille,4.0
Cafe Chorba,4.0
Capitol Cellars,4.0
Murphy's Bar & Grill,4.0
Rico Ricky Y El Gordito,4.0
Folcroft Diner,4.0
Boswell's Jamaican Grill,4.0
Bourbon Street Drinkery,4.0
Francis Kaufman House,4.0
Two Stones Pub,4.0
Boise Fry Company,4.0
Sacred Pepper,4.0
The Common PHL,4.0
Saladworks,4.0
Whole Hog Cafe,4.0
Lions Head Bar & Grill,4.0
"Burger & Company - Old Hickory, TN",4.0
Gray Brothers Cafeteria,4.0
Sam's Place - Nippers Corner,4.0
Upper Crust Cafe,4.0
Cuzco Peruvian Cuisine,4.0
Chatterbox North Family Restaurant,4.0
Firehouse Subs,4.0
Arni's - Brownsburg,4.0
E & E Stakeout Grill,4.0
Double Eagle Cafe,4.0
Cowboy Corral Bar & Grill,4.0
Mission BBQ,4.0
Dante's Fire,4.0
Wegmans Wine & Beer,4.0
Mrs Snyder's,4.0
My Friend's Tavern,4.0
The El Bar,4.0
1823 Kitchen & Bar,4.0
Nature's Table,4.0
Aquarius Restaurant,4.0
Sezmu,4.0
Aussie Grill,4.0
The Brunchery,4.0
Local Wine & Kitchen,4.0
Smashin Crab,4.0
Coeur,4.0
Five Guys,4.0
Maple Street Cafe,4.0
Killer Poboys,4.0
Tap Room On 19th,4.0
My Kitchen,4.0
Ice House,4.0
The Little Easy,4.0
Renaissance Sausage Truck,4.0
Five Guys,4.0
Chopper's Grill,4.0
The Kettle & Grille,4.0
Cafe Musee,4.0
Danny's Bar & Grill,4.0
Cindy Lou's Cafe,4.0
Juniper,4.0
Sweet Olive,4.0
GG's Dine-O-Rama,4.0
Sahm's Place,4.0
The Shed,4.0
Awedaddys Bar & Grill,4.0
Shelbi Street Cafe & Bistro,4.0
Harvest Oro Valley,4.0
Braiz Bistro & Brewhouse,4.0
Blackfish,4.0
El Folklor Restaurant,4.0
Louie's California Bistro,4.0
Uptown Cafe,4.0
Glory Days Grill,4.0
Airliner Bar & Grill,4.0
Gelato Cafe,4.0
My Brother’s Bar,4.0
Louie Louie,4.0
Elements,4.0
Ms. P's Soulful Dash Bar and Grill,4.0
SoBro Cafe,4.0
R Beach,4.0
Mil-Lee's Luv-Inn,4.0
Thyme Table Café,4.0
Harvey's 4th Street Grill,4.0
Burger 21 - St. Petersburg,4.0
Delran Coffee Shop,4.0
Plato Latino,4.0
Kyle's Protein Grill,4.0
Piranha's Bar & Grill,4.0
Caribbean Cafe,4.0
Dimartinos Famous New Orleans,4.0
JD McGillicuddy's,4.0
222: A Southern Eatery,4.0
Horseshoe Restaurant & Lounge,4.0
Swizzle Stick Bar,4.0
The Munch Factory,4.0
J. Alexander's Restaurant,4.0
Uptown Cafe,4.0
Franky D's Family Kitchen,4.0
Redwood Rotisserie + Grill,4.0
Bienvenue,4.0
Four Day Ray Brewing,4.0
New York Grill,4.0
Charm City Eats,4.0
Kelly's,4.0
Jane,4.0
The Saladman,4.0
Porky's Point Restaurant,4.0
Northside Dairy Haven,4.0
Villa Peru,4.0
Mémé,4.0
Serpico,4.0
Bevmo,4.0
The Flying V Bar & Grill,4.0
Luna,4.0
Eureka!,4.0
5 Star Burgers,4.0
Holland House Bar & Refuge,4.0
Root,4.0
Granny's Kitchen,4.0
The Tap,4.0
Dino's Bar & Grill,4.0
Our Place  - Clearwater,4.0
Papa's Place,4.0
Joe's Shelby Street Diner,4.0
Panca,4.0
Party Fowl - Nashville International Airport,4.0
Fast Eddie's Bon Air,4.0
RBG Bar and Grill,4.0
The Libertine Liquor Bar,4.0
Barrio Grill,4.0
Indy's Historic Steer-In Restaurant,4.0
Throwbacks,4.0
Letty’s Tavern,4.0
Hernando Beach Tropical Grille,4.0
CJ & Eck's,4.0
Trenton Social,4.0
Mission BBQ,4.0
Me You and Irene Catering and Restaurant,4.0
Stage Left Grille,4.0
The Organic Banana,4.0
Ocean Hai,4.0
Five Guys,4.0
Libbys Restaurant,4.0
"Feelings Marigny Cafe, Bar & Courtyard Lounge",4.0
Beachside Grill,4.0
Square One Brewery & Distillery,4.0
Pub of Penn Valley,4.0
Five Guys,4.0
Lulou's Restaurant,4.0
First Watch,4.0
Husk,4.0
Fort Ben Pub,4.0
Old Southwest Social House,4.0
Phil's Grill,4.0
Champ’s Diner,4.0
Frog Bar & Grill,4.0
Fenton Bar and Grill,4.0
Main and Vine Bistro,4.0
Chef D'Z Cafe,4.0
Waffle House,4.0
Cielos,4.0
Murphy's Pubhouse South,4.0
The Tavern Restaurant,4.0
Mother's Table,4.0
Le Salon,4.0
Beefsteak,4.0
El Coqui Puerto Rican Restaurant,4.0
Hippie Kitchen,4.0
Paramour,4.0
Eureka!,4.0
Stout's Cafe,4.0
Far From Home,4.0
Crown Fried Chicken,4.0
Burger Baron,4.0
Yummy Pizza,4.0
Lion's Choice,4.0
Crushed Red,4.0
The Free Press Bistro,4.0
Yaba’s Cafe,4.0
Nook and Kranny Kafe 2,4.0
Ale Emporium,4.0
Eastland Cafe,4.0
Spencer Eta Burger,4.0
Smashburger,4.0
Turning Point - Newtown,4.0
Smokes Poutinerie,4.0
Dettera Wine Restaurant & Bar,4.0
La Rosa Chicken & Grill,4.0
The Capital Grille,4.0
Society Hill Society,4.0
Ruth's Steakhouse,4.0
Chris' @ The Docket,4.0
City Barbeque,4.0
