name,stars
Kaiming’s Kitchen,5.0
Lian Hsing's,5.0
Jade Palace,5.0
Hong Kong Chinese Restaurant,5.0
House of Chen,5.0
China King,4.5
Poseidon Asian Cuisine,4.5
New China,4.5
The Chinese Noodle Factory,4.5
Yum Yum Hot Pot AYCE,4.5
Chinese Restaurant,4.5
China Legend,4.5
Vegas Wok,4.5
Dumpling House,4.5
Peking Gourmet Chinese Restaurant,4.5
Chiu’s Kitchen,4.5
Asian Sofrito,4.5
Golden House,4.5
Wm Mulherin's Sons,4.5
JH Cafe,4.5
Chan's Garden,4.5
General Tso,4.5
Shang Hai,4.5
China Dragon,4.5
Saloon Restaurant,4.5
Mister China,4.5
Unit Su Vege,4.5
Mr Wok,4.5
Golden Dragon,4.5
Classic Asia,4.5
House of China,4.5
Green Onion Cake Man,4.5
China Wok,4.5
Taijiang Snackies,4.5
Golden China Wok Restaurant,4.5
New Wong House,4.5
Happy China,4.5
Noodle Feast,4.5
Pin Wei,4.5
Chinese Hot Pot Buffet,4.5
Hakka Beef House,4.5
Jewel’s Noodle Kitchen,4.5
Tang's Chinese Restaurant,4.5
Hong Kong Kitchen,4.5
Tokyo  Express,4.5
China Bay Restaurant,4.5
Modita,4.5
Richard's Nashville Cafe,4.5
NORI Japanese Hibachi & Asian Cuisine,4.5
Shiquan Wonton,4.5
Loma House Vegetarian Express,4.5
Tang's Garden Chinese Restaurant,4.5
Wei Dao Asian Cuisine,4.5
China Palace,4.5
Perry's B B Q,4.5
Dagu Rice Noodle,4.5
Chubby Cattle,4.5
Panda Express,4.5
General Tsao’s House,4.5
Jay C's Place,4.5
Potwhale,4.5
Panda Chinese Restaurant,4.5
China Wok,4.5
Happy Dragon,4.5
China Wok,4.5
China Bistro,4.5
China King,4.5
TT Skewer,4.5
Grace Bistro,4.5
Chef Li 庭说火锅,4.5
China Gourmet,4.5
Golden Dragon,4.5
Hunan East,4.5
Chilispot,4.5
China Spring,4.5
Yokohama,4.5
DJ Kitchen,4.5
YuYan Kitchen,4.5
Kwan Ming Chinese,4.5
Sai Woo Garden Restaurant,4.0
Great Village Chinese Restaurant,4.0
Mayflower Chinese Restaurant,4.0
China Kitchen,4.0
Great Wall Chinese Restaurant,4.0
Peking Palace,4.0
Quik Wok,4.0
Super China Chinese Restaurant,4.0
Asian Kitchen,4.0
Veekoo,4.0
Snow Peas Modern Asian Kitchen,4.0
China City Restaurant,4.0
KC's Pastries,4.0
97 Hot Pot,4.0
Seafood Time,4.0
Zhang's China House,4.0
Hello Cafe,4.0
Panda House,4.0
China House,4.0
China Inn,4.0
Chef Chan's Restaurant,4.0
Egg Roll King,4.0
Tang Bistro,4.0
Jumbo Dim Sum Dining,4.0
China Cottage Restaurant,4.0
Mark Pi's Express,4.0
Cui Hua Gui Lin Noodle House,4.0
South Silk Road,4.0
China Tokyo,4.0
Mr China,4.0
Dove M Bistro,4.0
Oriental Express,4.0
China 1,4.0
Foon Ying Chinese Restaurant,4.0
M Kee,4.0
Sichuan Chinese Restaurant,4.0
Lee Garden,4.0
Golden Garden,4.0
Yi Pin Cuisine,4.0
Sang Kee Peking Duck House,4.0
Ja Bowl China Express,4.0
Hunan Wok,4.0
Ming Gardens Restaurant,4.0
Lemay Wok,4.0
Dragon House,4.0
Best Food in Town,4.0
Lorna's One Stop Jerk Center Restaurant,4.0
New China King,4.0
Wokworks,4.0
Oriental Express,4.0
Chef Ma's Chinese Gourmet Restaurant,4.0
China Bistro,4.0
Choy Wong Kitchen,4.0
Beijing Chinese Restaurant,4.0
Chop Suey Inn,4.0
China Gardens,4.0
Best Wok,4.0
Panda Bistro,4.0
Great Peking,4.0
Singapore Chinese Vegetarian Restaurant,4.0
Kung Fu Noodle,4.0
Happy China,4.0
Corner 17,4.0
China Taste,4.0
Sichuan Hot Pot & Asian Cuisine,4.0
Charles Plaza,4.0
Zom Hee Chinese Restaurant,4.0
Yankee Noodle,4.0
Happy Garden Chinese Carry-Out Restaurant,4.0
Li's Garden,4.0
Tasti - Tea,4.0
Brother Seafood Restaurant,4.0
Ferguson Chop Suey,4.0
Spice C,4.0
Asian Wok,4.0
Jin Ding Restaurant,4.0
One Pot Simmer,4.0
Tasty Place,4.0
La Bella China Restaurant,4.0
Golden China,4.0
China Star,4.0
Hong Kong Chinese Food Eat In & Take Out,4.0
Temple Garden Chinese Restaurant,4.0
Hong Kong Garden,4.0
China Chen Restaurant,4.0
Hunan Royal,4.0
Dim Sum Court,4.0
Rollin Gardens Chinese Restaurant,4.0
Han Dynasty,4.0
Taiwan Restaurant,4.0
Perfect Taste,4.0
New ABC Seafood Restaurant,4.0
La Chine China Bistro,4.0
Taste of China,4.0
Beijing,4.0
China Express,4.0
Red's Chinese,4.0
Manchu Kitchen,4.0
Mulan Chinese Restaraunt,4.0
Ginger Asian Cuisines,4.0
Mini Restaurant,4.0
Happy Wok,4.0
Tao Asian Fusion,4.0
Chinese Dumpling House,4.0
Wang House,4.0
Pin Wei,4.0
Red Apple,4.0
Ming's Restaurant,4.0
New China,4.0
Han Dynasty,4.0
J & C Cuisine,4.0
China House,4.0
Pineapple Asian Restaurant,4.0
Shanghai Dimsum,4.0
Little Chinatown,4.0
Wonton King,4.0
Rainbowtown Chinese Restaurant,4.0
Peking Palace & Sushi Bar,4.0
Asian Cuisine,4.0
New China Moon,4.0
Sang Hing Chinese Food Take Out,4.0
Song Da,4.0
NO.1 China,4.0
TKO,4.0
China Garden,4.0
Fortune House Chinese Restaurant,4.0
Pak Yue Chinese Restaurant,4.0
Food Spot Market,4.0
Yummy Yummy,4.0
Fortune Palace,4.0
China Szechwan,4.0
sunny china,4.0
Kampong Asian Market Resaurant,4.0
Mark Pi's China Gate,4.0
Lucky Wok Chinese Restaurant,4.0
Sushi Express,4.0
