name,stars
Parlor House Bistro,5.0
Cafe Soleil,5.0
Sentiments Wine and Cheese Dive,5.0
Le Coq Rouge,4.5
NINE,4.5
Bibou,4.5
Under the Oak Café,4.5
Forsythia,4.5
Coquette,4.5
Bree'osh,4.5
Bistrot La Minette,4.5
Mr. Crepe,4.5
At The Table BYOB,4.5
Chez Colette,4.5
Once Upon A Time In France,4.5
Sandshakers,4.5
Mundos,4.5
Lacroix Restaurant at The Rittenhouse,4.5
June BYOB,4.5
Gini's Restaurant,4.5
Partake,4.5
Une part d'Amour,4.5
Apolline Restaurant,4.5
The Little Door - Santa Barbara,4.5
Sola Byob,4.5
The Little Hen,4.5
Meauxbar,4.5
C'Bon,4.5
Flying With Jerome,4.5
The Gallery Pastry Shop,4.5
Cafe Largo,4.0
Gilmore's Restaurant,4.0
Viet French Cafe and Sandwiches,4.0
Brian's,4.0
Zinc,4.0
Salon by Sucré,4.0
Siri's Thai French Cuisine,4.0
Mona Lisa Restaurant,4.0
Le Chéri,4.0
Petit Roti,4.0
Beaujolais Bistro,4.0
Midtown Cafe,4.0
Jacquie's Cafe,4.0
theory,4.0
Will BYOB,4.0
Sips Bistro & Bar,4.0
Cochon,4.0
Kates Kitchen,4.0
Julienne,4.0
Petit Valentien,4.0
Atlas Restaurant,4.0
Cafe Provencal,4.0
Zinc Restaurant,4.0
Petit Lion,4.0
Nan Restaurant,4.0
Café Lutecia,4.0
Gist Bistro,4.0
The Cake Bake Shop by Gwendolyn Rogers-Broad Ripple Village,4.0
Le Rendez-vous,4.0
The Pearl,4.0
Dream Cuisine Cafe,4.0
Trinity Restaurant New Orleans,4.0
Cafe L'Aube,4.0
Leila's Restaurant and Bar,4.0
La Mie Emilie,4.0
Passage Restaurant,4.0
La Petite Grocery,4.0
Justine,4.0
Crepes Celeste,4.0
Slate Bleu Restaurant,4.0
Parc,4.0
Eleven Eleven Mississippi,4.0
Wolfe's,4.0
The Pickled Heron,4.0
Cropichon et Bidibule,4.0
Sontuosa BYOB,4.0
Borrello's Pizza & Pastaria,4.0
Cafe Preeya,4.0
Le Cafe De Paris,4.0
Spiritland Bistro,4.0
Cerise Craft Steakhouse,4.0
Liberté Lounge,3.5
Green Room,3.5
Vivante French Eatery,3.5
Brasserie Perrier,3.5
Chateau du Lac Bistro,3.5
La Petite Dauphine,3.5
Blackbird Dining Establishment,3.5
Adsum Restaurant,3.5
Ghini's French Caffe,3.5
la Madeleine,3.5
Table 3,3.5
La Belle Epoque Cafe,3.5
Le Cafe Stella,3.5
La Baguette Bakery,3.5
The Melting Pot - New Orleans,3.5
Six Tables,3.5
Riviera Provincial Grill,3.5
The Creperie Cafe,3.5
Dijon,3.5
Bistro St. Tropez,3.5
The Creperie,3.5
Agustin Kitchen,3.5
Russet,3.5
Sweet Lulas Restaurant,3.5
Bistro on the Brandywine,3.5
Music City Crepes,3.5
Deanie's Seafood,3.5
Le Pain Quotidien,3.5
Chez Colette,3.5
Maison 208,3.5
Fiorella's Cafe,3.5
Restaurant Mimosa,3.5
Burgerim,3.0
Chez Leon,3.0
Bistro de Paris,3.0
Redemption,3.0
Bistro La Persaud,3.0
The Farmhouse,2.5
La Creperie,1.5
