name,stars
Kleo's Baklava Cafe,5.0
Big Greek Gyros & Bakery,4.5
Stefano,4.5
Santorini Gyro,4.5
Kaboburritos,4.5
Ambrosia Restaurant & Bar,4.5
Best Gyros,4.5
Greek Brothers Taverna,4.5
Cleopatra Restaurant,4.5
Suri's Mediterranean,4.5
Sam's Kabab Gyro,4.5
Zorba's Taverna,4.5
Eat Greek Kouzina,4.5
Adel's Gyros,4.5
The Olive Tree Greek Grill,4.5
My Greek Corner,4.5
Acropolis,4.5
Vinnie's Italian Beef and Gyros,4.5
Famous Greek Salads,4.5
The Hungry Greek,4.5
Zeko's Mediterranean Grill,4.5
The Little Greek Corner,4.5
Meraki-Greek Street Food,4.5
The Limani,4.5
Mykonos,4.5
Kings Gyro,4.5
Florida Subs & Gyros,4.5
The Hungry Greek,4.5
Mediterranean Grille,4.5
Chick & Peas Grill,4.5
Down By The Bay Cafe,4.5
MADD Greeks Mediterranean Grill,4.5
Mad Greek,4.5
Yanni's Gyro,4.5
Yanni's Greek & American Deli,4.5
The Greek Kitchen,4.5
Sponge Docks,4.5
Cosmo's Greek Kitchen,4.0
Istanbul Cafe,4.0
Cairo Gyro,4.0
Niko's Grill,4.0
Little Greek Restaurant,4.0
Assumption Greek Orthodox Festival,4.0
Mama Fofos,4.0
Pita Grill Fresh,4.0
Chicago Style Gyro,4.0
Central Park Family Restaurant,4.0
Gregg Mediterranean Restaurant,4.0
OPA! of Greece Southgate Centre,4.0
Louis Pappas Market Cafe,4.0
Taziki's Mediterranean Cafe - Franklin,4.0
Zeko's Mediterranean Grill,4.0
Chicago Style Gyros,4.0
Grapevine Cuisine,4.0
Estia,4.0
King Gyros,4.0
Argana Tree Restaurant,4.0
The Hungry Greek,4.0
Angelo's Pizza House,4.0
Spiro's Family Restaurant,4.0
Mo' Ziki,4.0
Gyro King,4.0
Nova Mediterranean Grill,4.0
Kostas Bar Restaurant,4.0
Mythos Greek Taverna,4.0
Zoes Kitchen,4.0
Acropol Family Restaurant,4.0
Greko Greek Street Food,4.0
The Patio,4.0
Audrey Claire,4.0
Fronimo's Greek Cafe,4.0
Nickel's Diner,4.0
King of Falafel,4.0
Mr Souvlaki,4.0
Alati  - Tarpon Springs,4.0
Yia Yia's Greek Express,4.0
Gyro Express,4.0
Silvermoon Pizzeria Restaurant,4.0
Taziki's Mediterranean Cafe,4.0
Bitar's,4.0
Chicago Style Gyros At Harding Place,4.0
Pitas 2,4.0
Hey Hummus,4.0
OPA! of Greece Currents of Windermere,4.0
Formaggi Pizza,4.0
Zoes Kitchen,4.0
Opa! Time Gyros and Chopped Salads,4.0
Opa Gourmet Pizza Cuisine,4.0
Little Greek Fresh Grill,4.0
Gyro Shack,4.0
Blue Moon Pizza & Gyro,4.0
Andros Greek Grill & Pan Pizza,4.0
The Simple Greek,4.0
Greek City Cafe,4.0
Little Greek Fresh Grill,4.0
Nikos Greek Kitchen,4.0
The Little Greek Deli,4.0
The Simple Greek,4.0
Zoes Kitchen,4.0
Petra Cafe | Downtown,4.0
Pitas & Greens,4.0
Acropolis on Freret,4.0
Al Basha Restaurant & Grocery,4.0
Zoes Kitchen,4.0
Zorba's Opa,4.0
Tabboulee,4.0
The Olive Tree Greek Grill,4.0
Urban Greek,4.0
Pelio Grill,3.5
Taste Safety Harbor,3.5
Zoes Kitchen,3.5
Blue Plate,3.5
ZORBAS II,3.5
Famous Greek Salads of Florida,3.5
Salem's Fresh Eats,3.5
Little Greek Restaurant,3.5
Marathon Grille,3.5
Byblos Restaurant,3.5
Greek Village Restaurant & Deli,3.5
Costa's Restaurant,3.5
Brooklyn Pizza & Cafe,3.5
Dmitri's,3.5
Little Greek,3.5
Taziki's Mediterranean Cafe - Cool Springs,3.5
Acropolis Greek Taverna,3.5
Hellas Cafe,3.5
Fresco Cafe and Pizzeria,3.5
Meze By Koutouki,3.5
Post Corner Pizza & Restaurant,3.5
Little Greek Fresh Grill - Carrollwood,3.5
Zoes Kitchen,3.5
Taverna Skara,3.5
The Breeze,3.5
Little Greek Restaurant,3.5
St Louis Gyros,3.5
George's Restaurant,3.5
Chicago Style Gyros,3.5
Sparta Grill,3.5
Zoes Kitchen,3.5
Pita's Republic,3.5
Little Greek Restaurant,3.5
Zoes Kitchen,3.5
Jerry's grill,3.5
Chicago's Fish & Chicken,3.5
Cosmos Restaurant,3.5
The Little Greek,3.5
Acropolis Greek Taverna,3.5
Greek Cafe,3.5
Mythos Restaurant,3.0
Santorini Cafe,3.0
Gyros & Seafood Express,3.0
Sunrise Cafe,3.0
Farmer Boys Restaurant,3.0
Salem's Fresh Eats,3.0
Mr Gyros,3.0
Opa! Greek Cuisine and Fun,3.0
Egg Style,3.0
Kuzina By Sofia,3.0
Route 3 Diner,3.0
Jafra Hookah Lounge,3.0
oh Greek,3.0
Mama's Greek Cuisine,3.0
Smitty's Restaurant,3.0
Athenian Garden,3.0
Salem's Fresh Eats,3.0
It's All Greek,3.0
Jerusalem,2.5
Louis Pappas Fresh Greek,2.5
Delfino's Pizza Brixx & Barley,2.5
Express Pizza & Gyros,2.5
Astoria Café,2.5
Papa Mendi's Grill and Bar,2.5
Pats Pizza & Bistro,2.5
Munk & Nunn,2.5
Kipos,2.5
Pyramids Café,2.5
BARaki,2.5
Taverna Opa-Tampa,2.5
Tena's Kabab & Grill,1.0
