name,stars
Island Fin Poke,5.0
Poké Falls,4.5
Aloha To Go,4.5
Main Street Poké,4.5
Kaia Bowls,4.5
Akio Sushi & Poke,4.5
LemonShark Poke,4.5
Engimono Pokè & Deli,4.5
A2Z Cafe,4.5
Poké Falls,4.5
Aloha Lei,4.5
Peg's Glorified Ham N Eggs,4.5
Kawai Poke Co.,4.5
Osaka Express,4.5
Ohana Cafe,4.5
Paddles Up Poke - 9th St,4.5
Island Plate Lunch,4.5
'Ono Poke Co,4.0
Poke Nash,4.0
Oishii Poké,4.0
Pipeline Taco,4.0
Teriyaki Madness,4.0
PokeOno,4.0
The Shak Hawaiian Cafe,4.0
Choppa Poke,4.0
Poke Loa,4.0
Poke Bros.,4.0
L&L Hawaiian Grill - Nashville,4.0
Splash Poke,4.0
Poké Fish,4.0
Poke Bros,4.0
Funk Seoul Brother at the Factory,4.0
Da-Kine Hawaiian Cafe,4.0
Roy's Restaurant,4.0
Naked Tchopstix Express,3.5
Blue Fin Poke,3.5
Rumbi Island Grill,3.5
Tiki Teriyaki Burger Time,3.5
L&L Hawaiian Barbeque,3.5
Omni Hut,3.5
L&L Hawaiian Barbecue,3.0
Kana Girl's Hawai'ian BBQ,3.0
L&L Hawaiian Barbecue,3.0
Hana Hawaiian Grill,2.5
L&L Hawaiian Barbecue,2.5
