name,stars
Baba Xavi,5.0
Coriander Cuisine,5.0
Empire Grill,5.0
Lovely Pizza,5.0
Chefs Butter Chicken,5.0
Kathmandu Rasoi,5.0
Plume Algiers,5.0
Rasavat,5.0
Thulasi,5.0
The Humble Butternut,5.0
Ice Spice Cafe,5.0
Bird by Bird,5.0
Get Curried,5.0
Flavors Indian Cuisine,5.0
Ateethi Locust,4.5
Curry Leaves Indian Cuisine,4.5
Bombay Kitchen,4.5
Taste of India,4.5
Kababeque Indian Grill,4.5
Flames Indian Cuisine,4.5
Indian Twist,4.5
Bombay Food Junkies,4.5
Exo-Tikka,4.5
Turmeric,4.5
Ateethi,4.5
Taj Indian Cuisine,4.5
Sitara Indian Cuisine,4.5
Cafe Masala,4.5
Sameem Afghan Restaurant,4.5
Second Wife Kitchen,4.5
Rasa Indian Cuisine,4.5
Aman's Indian Bistro,4.5
Aman's Indian Bistro,4.5
Honest Indian Restaurant,4.5
Masala Kitchen: Kati Rolls & Platters,4.5
Dinner Bell,4.5
Haweli Restaurant,4.5
Spice Garden Indian Cuisine,4.5
Lilly’s Restaurant,4.5
Chapati Beta,4.5
Spice Box,4.5
eDESIa,4.5
Swagat India Bar and Bistro,4.5
Martin's Indian Cuisine,4.5
Namaste Indian Bistro,4.5
Aroma Indian Grill,4.5
Kurinji Indian Cuisine,4.5
Chettinad Aachy's,4.5
House Of India -Royersford,4.5
Kebab N Kurry,4.5
Kabob & Grill Indian Cuisine,4.5
Zauq,4.5
Cross Culture,4.5
Guru's Indian Cuisine,4.5
Noor Greenwood,4.5
The Twisted Indian Food Truck,4.5
Delhi 86,4.5
Indian Fusion - The Curry House,4.5
Nirvana Indian Bistro,4.5
Bombolé,4.5
Caribbean Crown,4.5
Masala Tree,4.5
Aroma Indian Cuisine and Bar,4.5
Taste of Punjab Indian Cuisine,4.5
Spice Nation,4.5
Tiffin Indian Cuisine,4.5
Indian Frybread-Manna From Heaven,4.5
Surati Indian Street Food,4.5
Karachi Kabab & Grill,4.5
Bawarchi Biryani Point,4.0
Indiya,4.0
Coriander Indian Bistro,4.0
India Bistro,4.0
Favorite Indian Cuisine,4.0
India Gate,4.0
Indian Garden,4.0
Tandoor & Tikka,4.0
Deccan Biryani,4.0
Grill To Go,4.0
Shalimar Indian Restaurant,4.0
Haveli Indian Kitchen,4.0
Indian and American Restaurant,4.0
Aroma East Indian,4.0
Flavor of India,4.0
Maurya Palace Restaurant,4.0
Desi Tadka Indian Cuisine,4.0
Star of India Restaurant,4.0
Spicy Affair,4.0
Remedy Cafe,4.0
Dhaba Indy,4.0
House of India,4.0
Sitar India,4.0
India Palace,4.0
Amma's South Indian Cuisine,4.0
Aman's Indian Bistro,4.0
Silk Road,4.0
Biryani Hut,4.0
Priyaa Indian Cuisine,4.0
Utsav Indian Cuisine,4.0
Flavor of India,4.0
Kabobi,4.0
Green Chili Indian Restaurant,4.0
Himalayan Kitchen,4.0
Amber Indian Restaurant,4.0
Gokul Indian Restaurant,4.0
India Village Restaurant,4.0
Azaad Foods,4.0
The Twisted Indian,4.0
Village Of India,4.0
Suvai Chettinad Indian Cuisine,4.0
Mumbai Bistro,4.0
Kwality Fusion,4.0
Kerala Restaurant,4.0
Flavors Indian Cuisine,4.0
Vashti West Indian Restaurant,4.0
Munsalwa Pakistani & Indian Restaurant,4.0
New Asian Village Sherwood Park,4.0
Saffron Indian Kitchen,4.0
Best of India,4.0
Taj Mahal Curry,4.0
Jalsa Indian Cuisine & Jalsa Events,4.0
Saffron Indian Bar & Grill,4.0
Tandoori Kabab,4.0
27Mart,4.0
Mumbai Grill,4.0
Silverspoon Pakistani and Indian Restaurant,4.0
Shere-E-Punjab,4.0
Savoy's South Indian Kitchen Savoy,4.0
Sher-e-Punjab,4.0
House Of India,4.0
Veda - Modern Indian Bistro,4.0
Indian Bistro,4.0
Biryani City,4.0
Royal Ashoka,4.0
Jyoti Indian Bistro,4.0
Rasa Sayang,4.0
Mood Indian Restaurant,4.0
New India's Kitchen,4.0
The Royal Indian Cuisine,4.0
Godaari Ruchulu,4.0
SFG - Shree Fusion Grill,4.0
Saffron Indian Kitchen,4.0
Dhaniya Drums Indian Food,4.0
Twisted Indian Wraps,4.0
Saffron Indian Cuisine,4.0
Taj Mahal Traditional Indian Cuisine,4.0
Zyka Indian Cuisine,4.0
Choolaah,4.0
Angithi Indian Cuisine,4.0
Indian Sizzler,4.0
Amma's South Indian Cuisine,4.0
Dosa Hut Indian Grill,4.0
The Palace of Indian,4.0
Imli Indian Kitchen,4.0
Ekta Indian Cuisine,4.0
Streets of India,4.0
Palace Of Asia,4.0
Taj Mahal,4.0
Spice Garden,4.0
Ateethi,4.0
Karma Restaurant & Bar,4.0
Y Not Indian,4.0
The Twisted Tandoor,4.0
Biryani City,3.5
Taj Palace,3.5
Mint Indian Cuisine,3.5
Curry Leaf,3.5
Origin India,3.5
Laxmi's Indian Grille,3.5
Tandoor Authentic Indian Restaurant,3.5
5th Element - Taste of India,3.5
Daawat Authentic Indian Restaurant,3.5
China in Bombay,3.5
Honest Restaurant,3.5
Apna Kabab House,3.5
The Tandoor,3.5
Desi Village,3.5
Jai Ho Indian Cuisine,3.5
Nala Indian & Thai Cuisine,3.5
Godavari,3.5
Rana Halal Grill and Kabab,3.5
Palace of Asia,3.5
Taj Indian Cuisine,3.5
Amber Indian Restaurant,3.5
