name,stars
Rosalia’s Pizza,5.0
A Little Italian,5.0
That's Amore Café,5.0
Scalessa's,5.0
Il Forno,5.0
Paolo's Deli,5.0
Tredici,5.0
V-Trap Kitchen and Lounge,5.0
Le Onde Ristorante,5.0
Core de Roma,5.0
Versi Vino,5.0
Marconi Bakery,5.0
Castellino's,5.0
San Marco Pasta,5.0
Ravello Woodfire Pizza,5.0
Lazzaroli Pasta,5.0
Impasto,5.0
Mirro's Pizzeria,5.0
Faraci Pizza,4.5
Matteo Trattoria & Pizzeria,4.5
Guicho's Eatery,4.5
Uncle Leo's Pizza,4.5
Piccola Gelateria,4.5
Diane & Tom's Cafe,4.5
Portofino Ristorante,4.5
Paola's Pizzeria,4.5
Noble Crust,4.5
Johnny's Ristorante Italiano,4.5
Jersey Boy's Deli,4.5
Reilly Craft Pizza & Drink NORTH,4.5
Cafe Celeste,4.5
Bel Cibo,4.5
Pasto,4.5
il Sugo Italian Kitchen,4.5
Pane Rustica,4.5
Cattani Catering & Kitchen,4.5
La Stalla Italian Market,4.5
Talluto's Authentic Italian Food,4.5
Dalla Tavola Zenari,4.5
Corropolese Bakery & Deli,4.5
Pizza Crime,4.5
Nucci's Italian Ice & Gelato,4.5
Ambrosia Ristorante BYOB,4.5
San Lucas Pizzeria,4.5
Nicole-Taylor's Pasta and Market,4.5
Spanky & Louches,4.5
Dewey's Pizza,4.5
Sonny's Italian Restaurant,4.5
Matt & Marie's,4.5
Portabello's Restaurant,4.5
Bistro66,4.5
NickyG's Italian Eats,4.5
Rosie Food & Wine,4.5
Boccaccio Restaurant,4.5
Jimmy's Pizzeria,4.5
Italian Cucina,4.5
L'Oceano Ristorante,4.5
DeNofa's Italian Deli,4.5
Bistro DiMarino,4.5
Angelina Trattoria,4.5
Yatz's Subs and Steaks,4.5
Ristorante Pesto,4.5
Vivo Ristorante Downtown,4.5
Hawkeye's New York Style Pizza,4.5
The Pizza Collective,4.5
Monster Vegan,4.5
Harth,4.5
Paesano's Philly Style,4.5
Rapidough Pizza Pies,4.5
Green Bean Java Bistro,4.5
That's Amore Pizzeria,4.5
Bellini Restaurant & Lounge,4.5
Calabria Brickoven Pizzeria,4.5
Mia Sorella,4.5
Cafe Nonna,4.5
Acero,4.5
