name,stars
Cocteleria La Palma Mariscos Y Mas,5.0
Lengua Madre,5.0
Padrinos Mexican Restaurant,5.0
Blue Corn Tacos Catering,5.0
Ole Mexican Grill,5.0
Guisados Don Roman,5.0
D'Mexican,5.0
Taqueria La lucha,5.0
Tio's Mexican Restaurant,5.0
Tex Mex Burriro,5.0
Carreta's Mexican Restaurant,5.0
Frida's Mexican Taqueria,5.0
Camaleon Mexicana,5.0
Taqueria Tablas,5.0
Marcela's Cafe,5.0
Beline Carncerica and Deli,5.0
Alis Taqueria,5.0
La Canasta Mexican Food,5.0
Family Tacos,5.0
Lilly's Panaderia,5.0
Daddy's Tacos NV,5.0
Carnitas y Taqueria La Frontera,5.0
The Hungry Hangover,5.0
Don Julio's Cockteles,5.0
El Rancho Viejo,5.0
El Nopalito,5.0
El Antojo Poblano,5.0
La Tlaxquenita,5.0
El Chivo Jaliciense Taqueria y Birrieria,5.0
Taqueria Gonzalez,5.0
Wetos Locos,5.0
Casa Maria Express,5.0
Tutuli's Sonoran Hotdogs,5.0
Rene’s Mexican Kitchen,5.0
Restaurante Morelos,5.0
Pupuseria la salvadoreña,5.0
El Jarocho Mexican Store And Taqueria,5.0
El Guero  Mexican Food Truck,5.0
El Bocado,5.0
la 5th av tacos,5.0
Las Fridas Mexican Kitchen,5.0
Sabor A Mexico,4.5
La Llorona Cantina,4.5
Tamaleria Lupitas Tamale Shop,4.5
Los Osorio Mexican Restaurant,4.5
Taqueria El Dolar,4.5
King Burrito,4.5
Jalisco Taqueria,4.5
Superica,4.5
Mariscos Culichi,4.5
La Metzicana,4.5
El Molcajete Mexican Restaurant & Sea Food,4.5
Taco Bell,4.5
Taqueria Monterrey,4.5
Carniceria Guanajuato II,4.5
Taqueria Los Compadres,4.5
Taco Bell,4.5
Don Nato's Mexican Food,4.5
Delicias Mexican Grill,4.5
Adelita Taqueria & Restaurant,4.5
Ruiz Hot Dogs,4.5
Aztlan Mexican Grill,4.5
Don Cuervo,4.5
Taqueria y Carnicería el Puerto,4.5
Tacos los Campesinos,4.5
Pacos Tacos Metairie,4.5
"La Chiquita, Taqueria Y Panaderia",4.5
El Chinito Gordo,4.5
El Rincon de Mexico,4.5
Taqueria Zamoritas,4.5
Sonoran Brunch Company,4.5
Bartaco,4.5
Lilly's Tacos,4.5
TacoSon,4.5
Casa Maria Mexican Grill,4.5
Taqueria Viva Mexico,4.5
El Compadre,4.5
Juice N Fruit Raspados,4.5
The Dogout,4.5
Chepos Tacos,4.5
Taqueria Guadalajara Express,4.5
Cholita Taqueria,4.5
Super Tortas,4.5
Salsa Verde Restaurant,4.5
California Tortilla,4.5
ChickeNuevo,4.5
Taste of Cholulas,4.5
El Rey Del Taco,4.5
Plazita Mexico Cafe,4.5
Tios Mexican Restaurant,4.5
Mexican Restaurant And Tortilleria "La Milpita",4.5
Mr. Pancho’s,4.5
Muchachas,4.5
Fountain Burrito,4.5
Los Portales,4.5
Adelitas Food Truck,4.5
Yona Redz,4.5
King Reno Tacos,4.5
Baja Tacos,4.5
Cha Cha Chow,4.5
Oscar's Taco Shop,4.5
Crystal Agave Mexican Grill,4.5
Eddie's Mexican Restaurant,4.5
Tacos Apson,4.5
Cielito Lindo,4.5
La Tejana Taqueria,4.5
Bull Market Tampa,4.5
Joeys Urban,4.5
Chiles Mexican Restaurant,4.5
Papasitos Fresh Mexican Food,4.5
Taqueria Mexico Lindo,4.5
Houston's Armadillo Grill,4.5
San Miguel,4.5
La Mansión,4.5
Mexican Taste,4.5
Tacos Las Californias,4.5
Cafe Ynez,4.5
La Mezcla Mexicana,4.5
Carniceria Mendoza,4.5
Maico,4.5
La Casona Mexican Restaurant,4.5
Taco Fish,4.5
Karamelo King,4.5
Esther's Cafe,4.5
San Antonio Mexican cousine,4.5
Kitchen West Side,4.5
El Morelia Super Mercado,4.5
Taco King,4.5
Taqueria Los Tarascos,4.5
Dos Reyes Mexican Restaurant,4.5
Macho Tequila's,4.5
La Yucateca,4.5
Jason's Mexican Restaurant,4.5
Los Nopales Mexican Restaurant,4.5
Taqueria Los Primos,4.5
Happy Cactus Mexican Cocina,4.5
El Patron Restaurant,4.5
El Paso Restaurant,4.5
Mi Ranchito,4.5
Oscars Taco Shop,4.5
Chilangos,4.5
Burritos Grill Mexican Fresh Cuisine,4.5
La Unica Michoacana,4.5
Rio Grande Tacos,4.5
Guatemalan Kitchen,4.5
Taqueria San Luis,4.5
El Primo Taqueria,4.5
Santa Barbara Tamales To Go,4.5
Lily's Tacos To Go,4.5
Los Sabores De Mexico,4.5
Taco Maya,4.5
el mercadito,4.5
Los Chapos tacos,4.5
Señor Taco,4.5
Taqueria La Flama,4.5
Tacos 46,4.5
Cholula Mexica Taqueria,4.5
5 Agaves Mexican Restaurant Bar & Grill,4.5
Tio Chpie's Taqueria,4.5
Aqui Con El Nene,4.5
Tortas El Mariachi,4.5
Taco Angeleno,4.5
Loya's Mexican Restaurant,4.5
Valeria's Comida Mexicana,4.5
Cinco De Mayo Mexican Restaurant East Nashville,4.5
Anna's Taqueria,4.5
Carniceria El Ranchito,4.5
Los Cuates Mexican Restaurant,4.5
51 North Taproom,4.5
Los Comales,4.5
Frank's,4.5
Papagayos,4.5
Tacos El Rey,4.5
Sunshine Cafe,4.5
El Toro Loco,4.5
Demetrio El Taquero De La 46,4.5
Jalapeño's 2,4.5
Don Gabriel Restaurant,4.5
La Guanaquita #2,4.5
Taqueria La Herradura,4.5
Momo's,4.5
Taqueria Vargas #1,4.5
Tacos De Oro,4.5
Taqueria Olvera,4.5
Maria's Mexican Restaurant,4.5
Baja Dogs,4.5
Panaderia Veronica,4.5
Panaderia Y Taqueria Lili,4.5
TreJo American & Mexican Restaurant,4.5
Andale Andale,4.5
Palacios Mexican Restaurant,4.5
Taco & Burrito Place,4.5
El Tio Gera,4.5
Taco Urbano,4.5
Mi Pueblito Tacos,4.5
El Nopalito,4.5
ClusterTruck,4.5
Pueblo Viejo Mexican Grill,4.5
Gil Tacos,4.5
La Peña Mexicana,4.5
Mony's Mexican Food,4.5
Taqueria Altamirano,4.5
El Habanero,4.5
Agave’s,4.5
El Diablo Burritos,4.5
Bakersfield,4.5
Lili's Fresh Authentic Mexican,4.5
Las Palmas Del Sur,4.5
DE LEON MEXICAN FOOD,4.5
The Smoke Factory,4.5
Corazon Cocina,4.5
El Jacalito,4.5
El Tizoncito Restaurant,4.5
51st Deli,4.5
Sueño Latino Restaurant,4.5
Garcia's Bakery,4.5
Capital Tacos,4.5
Los Tarascos,4.5
Whata Burro,4.5
Los Paisanos Bar and Grill,4.5
Gabby's Mexican Restaurant,4.5
Dona Alicia Mexican Food,4.5
Los Cuatro Soles,4.5
Casita Taqueria,4.5
Los Jimenez,4.5
Restaurante Yesenia,4.5
Wrap's Mexican Grille,4.5
El Sur Restaurant,4.5
In N Out Taco,4.5
Tacos Cancun,4.5
Carniceria Y Taqueria Don Juan,4.5
El Pique - Wilmington,4.5
El Limon - Bensalem,4.5
Carnitas La Yoca,4.5
Alvarez  Authentic Latin Food,4.5
Corazon Cocina,4.5
Crazy Burrito - Dunedin,4.5
Dos Amores Mexican Cuisine,4.5
Barrigas Mexican Restaurant,4.5
Pancho's Restaurant of San Ann,4.5
Mi Mex Cocina,4.5
Koke's Tavern,4.5
Quinoa Peruvian & Mexican Restaurant,4.5
La Charreria Taco House,4.5
Taceaux Loceaux,4.5
Taqueria Los 3 Toritos,4.5
El Gallo Jiros,4.5
El Mexicano,4.5
3 De Mayo,4.5
El Puerto Jarocho,4.5
Los Jilberto's,4.5
Roberto's Mexican Kitchen,4.5
Taqueria Oaxaca Indy,4.5
La Guanaquita Restaurante,4.5
El Trompo Taco Shop,4.5
Don Pancho Villa,4.5
Reynaldo's  Bakery,4.5
Casa Mama Lolita,4.5
Garcias Tacos,4.5
The Little One,4.5
Taqueria Don Luis,4.5
Baja Cafe on Campbell,4.5
Polo's Taqueria,4.5
El Changarro,4.5
Cafe Botanica,4.0
Taqueria Amor,4.0
Los Gallos,4.0
Fogatas Authentic Mexican Food,4.0
Angela's Mexican Food,4.0
San Luis Taqueria,4.0
El Pollo Tapatio,4.0
El Mirador Mexican Restaurant,4.0
Elotes Nayarit Y Taqueria,4.0
La Hacienda Mexican Restaurant,4.0
Tierra Mexi Cali Grill,4.0
Qdoba Mexican Grill,4.0
La Morena Mexican Grocery Store,4.0
Patrick's Smokehouse Kitchen,4.0
Taco Mama - Hillsboro Village,4.0
El Tapatio #2,4.0
El  Sitio,4.0
Antonio's Mexican Grill,4.0
CRUDA Mariscos & Oyster Bar,4.0
El Zarape Restaurant,4.0
El Limon - Norristown,4.0
West Coast Taco Shop,4.0
La Carreta,4.0
El Pique II,4.0
Taqueria El Bajio,4.0
El Rodeo,4.0
Indy Tacos,4.0
3 Agaves,4.0
G Peppers Grill & Tavern,4.0
El Pollo Loco,4.0
Rigo's Restaurant,4.0
Mariachi's,4.0
El Vago Mexican Restaurant ,4.0
Camino Real,4.0
Tacos El Gordo,4.0
Tacos Y Mariscos El Amigo,4.0
El Mariachi Loco Cantina,4.0
Johnny Sanchez,4.0
Reyes Mexican Grill & Mariscos,4.0
Mi Casa Mexican Restaurant,4.0
Burrito Loco,4.0
Super Cuca's Restaurant,4.0
Luciana's Mexican Restaurant,4.0
La Hacienda,4.0
La Casita,4.0
Taco Bell,4.0
Las Maracas,4.0
El Huarache Azteca,4.0
Tacos Aurora,4.0
Casa Don Roge,4.0
Los Tres Amigos,4.0
El Huarache Azteca Restaurant,4.0
Tacos El Flako,4.0
La Poblanita,4.0
Mojo's Tacos,4.0
Franco's Taqueria,4.0
La Mexicana Authentic Food,4.0
Taqueria La Pasadita,4.0
Tacos El Rey,4.0
Añejo Philadelphia,4.0
Antojitos Domis,4.0
El Mexicano,4.0
Taqueria La Raza,4.0
El Rodeo No 16,4.0
Mexico Lindo Restaurant,4.0
Red Sombrero - Kennett Square,4.0
Samano's Mexican Food,4.0
Coup de Taco,4.0
Taqueria Del Sol,4.0
Jose's Tacos,4.0
Casa Taco Express,4.0
Taqueria La Mexicana,4.0
Senor Burrito,4.0
El Tejano Mexican Restaurant,4.0
Lucianas Mexican Restaurant,4.0
Flor De Maiz,4.0
Molina's Midway Mexican Foods,4.0
La Fuente Mexican Restaurant,4.0
El Rosal Tortilla Factory,4.0
La Catrina,4.0
Pancho's Taqueria and Mexican Restaurant,4.0
El Sombrero,4.0
King George II Inn,4.0
Perfecto's Mexican,4.0
Siete Luminarias,4.0
Verde Flavor Of Mexico Ironworks,4.0
Santa Fe Mexican Grill - Wilmington,4.0
Guerreros Mexican Restaurant,4.0
El Cactus,4.0
Sarita's Pollos Charbroiled Cuisine,4.0
Taqueria Sanchez,4.0
Tacos Y Mariscos Lopez,4.0
Don Jose's Grill,4.0
El Pescador,4.0
Mexican Table,4.0
La Tia & Pancho's Cantina & Grill,4.0
Leo's,4.0
El Sur Restaurant,4.0
Poncho's Restaurant,4.0
Campos Market,4.0
The Avocado Mexican Grill,4.0
La Torta Loca,4.0
Juan's Flying Burrito,4.0
Nico's Mexican Food,4.0
Salsolito Cafe,4.0
El Tarascó,4.0
La Salsita,4.0
Screaming Jalapeno,4.0
La Super-Rica Taqueria,4.0
Nicos Mexican Food,4.0
Taco Circus,4.0
La Cocina De Gabby Bar & Grill,4.0
Mariscos El Bochas,4.0
La Cita,4.0
Lerua's Fine Mexican Food,4.0
Mestizo's Mexican Cuisine,4.0
La Terraza Mexican Grill,4.0
Tio Mexican Restaurant,4.0
The Alamo Grill,4.0
Tortillas,4.0
Three Brothers Grill,4.0
El Toro Mexican Cuisine,4.0
Taco Feliz,4.0
Tortas & Pizza El Sabor De Mi Tierra,4.0
Rosa Mezcal,4.0
The Peached Tortilla,4.0
Loren & Mari Mexican Grill,4.0
La Cabaña Del Tio,4.0
Taco Bus,4.0
Chapala Mexican Restaurant,4.0
El Chapo Taco,4.0
El Gato Negro - Gretna,4.0
Tucson Tamale Company,4.0
El Paisano Taqueria y Pupuseria,4.0
Sabrosa Taqueria,4.0
El Taco Tote,4.0
La Consentida,4.0
Ariaane,4.0
Los Amigos Mexican Restaurant,4.0
Casa Mexicana Bar & Grill,4.0
El Paso Mexican Grill,4.0
Mexican Mariachi Grill,4.0
Amigos Mexican Restaurant,4.0
Tamarindos Restaurant,4.0
Del Valle Grill,4.0
El Chapin,4.0
Burrito Joint,4.0
Las Trojes Mexican Food,4.0
Tacos Cielito Lindo,4.0
Poco & Moms,4.0
Lulus Cafe Mexican Food,4.0
Mi Tenampa,4.0
BK Tacos,4.0
Paraiso,4.0
BK Tacos,4.0
El Pastorcito,4.0
Si Amigos Mexican Restaurant,4.0
El Charro Negro,4.0
Biscuits Cafe,4.0
Tired Hands Fermentaria,4.0
Rio Tacos,4.0
Los Arroyos Mexican Restaurant & Take Out,4.0
Tres Carnales Taqueria,4.0
Yvette's CountrySide Cafe,4.0
Taco Express,4.0
Taqueria El Toluqueno,4.0
Blanco Cocina + Cantina,4.0
Taco Riendo,4.0
La Carreta,4.0
Salsa Verde Mexican Restaurant,4.0
Mojo Loco,4.0
Rostizado - by Tres Carnales,4.0
Rancho Rustico Restaurant,4.0
Taqueria El Maguey,4.0
Chismes Cafe,4.0
Condado Tacos,4.0
El Taco,4.0
Pollofino's,4.0
Coney Shack,4.0
