name,stars
Simply Delicious - Country Market & Deli,5.0
Paella & Tapas,5.0
LC's Cafe & Supper Club,5.0
Torero Tapas Bar,4.5
MANGÚ Authentic Dominican Cuisine,4.5
Costera,4.5
Del Rio's Cafe & Catering,4.5
Hispania Tapas Bar & Cafe,4.5
Todo Rico Sandwich Shop,4.5
Barcelona Tapas,4.5
Palaus Restaurant,4.5
Castillo's Cafe & Catering Company,4.5
Pipo's The Original Cuban Cafe,4.0
Spanish Island,4.0
La Isla Restaurante,4.0
Fredy & Tony's Restaurant,4.0
Dona Provis,4.0
Lola's,4.0
Iztaccihuatl,4.0
Fritanga Nicaraguense,4.0
El Mana Restaurant,4.0
Paloma,4.0
Mango's Cafe,4.0
Enjoy Colombia,4.0
Mole y Abuela,4.0
Churroland Tampa,4.0
"Amarilis Cafe Lansdale, Pa",4.0
Mr Empanada,4.0
Cafe Gala,4.0
lola,4.0
Spanish Tapas Cafe,4.0
Sabor Catracho,4.0
Saguaro Corners Restaurant & Bar,4.0
Guido's Pizzeria & Tapas,3.5
La Teresita Restaurant,3.5
Chickenuevo,3.5
Columbia Cafe on the Tampa Riverwalk,3.5
Cafe Kolao,3.5
El Rinconcito,3.5
Freddy & Tony's Restaurant,3.5
El Coqui,3.5
Café Martí,3.5
Cafe Apamate,3.5
Bodega Kitchen & Wine,3.5
Vega Tapas Cafe,3.5
ALMA Rest And Bar,3.5
The New Mama Juana Restaurant,3.5
Latin Grill  - Brandon,3.5
Calypso Restaurant,3.5
Pupuseria Lila's & Restaurant,3.5
Sur Real,3.0
Barcelona Bistro,3.0
Matador,3.0
Soda Pura Vida,3.0
Spanish Island Restaurant,3.0
Verdad Restaurant & Tequila Bar,3.0
Restaurante Orozko,3.0
El Quetzal,3.0
Montados by Mise En Place @ Sparkman Wharf,3.0
Country Flame,3.0
Taste of Portugal,3.0
El Patio,3.0
Gaetano's Pizza,2.5
El Rincon Dominicano,2.5
El Provocon Restaurant,2.5
La Nueva Hacienda,2.5
La Fiesta Restaurant,2.5
La Perrada Colombiana,2.0
