name,stars
Lotus Thai Cafe,5.0
Lan Phu Thai,5.0
Rooster Thai Sushi,5.0
King Siam Thai Cuisine,5.0
Pomelo NOLA,5.0
Little Ninja Thai Japanese Food & Cafe,5.0
Tuk Tuk Thai Kitchen,5.0
Gummlai Thai,4.5
Thai Pavilion,4.5
Sunrise 2 Authentic Thai Food,4.5
Tuk Tuk Thai Fusion,4.5
Khao Kaeng by Empty Bowl Gourmet Noodle Bar,4.5
Thai Castle Cuisine,4.5
Bangkok Market,4.5
Thai Basil,4.5
Thai Nine Restaurant,4.5
ZEN Thai Cuisine & Sushi,4.5
Bangkok Cuisine Thai Restaurant,4.5
Star Sushi And Thai,4.5
JYL Samurai Sushi,4.5
Cafe De Siam,4.5
Bann Thai,4.5
Eating Thai,4.5
Sushi Thai by Samran,4.5
LOFT Thai Eatery,4.5
Panai Thai Restaurant,4.5
Chatayee Thai,4.5
Thai Samurai,4.5
Simply Thai Restaurant,4.5
Thai Cuisine,4.5
Syphay Restaurant,4.5
Chix Shack,4.5
Sweetie Cup Thai Cafe,4.5
Vincent's,4.5
3D Sushi Thai Lao,4.5
House of Thai Cuisine,4.5
Sushi Garden & Kitchen,4.5
Sabai Asian Bistro,4.5
Golden Triangle,4.5
Viman Thai Cuisine,4.5
House of Thai,4.5
Numchok Wilai,4.5
Thai Kitchen - St. Charles,4.5
Ahi Asian Bistro,4.5
Suda Thai Cuisine,4.5
Thai Mama,4.5
Papa Thai Chef,4.5
EatThai,4.5
Thaihey Nola,4.5
Bite a Bit,4.5
Degthai,4.5
Siam Elephant,4.5
Simply Thai,4.5
Thai Chilli Pepper,4.5
Thai Djing,4.5
Thai Kitchen - Florissant,4.5
Indo,4.5
I Thai Sushi Sport bars,4.5
Lil Thai Cafe,4.5
Thai Fusion Kitchen,4.5
Thai Boat Restaurant,4.5
Turbo Thai ,4.5
Saap Lao Thai Cuisine,4.5
Nine Thai Cuisine,4.5
Thai Corner Restaurant and Bar,4.5
Thai Rama9,4.5
Downtown Bangkok Cafe,4.5
Thai Hot,4.5
Rice Thai Bistro,4.5
Bua Siam Thai Cuisine & Sushi,4.5
Thai Orchid Restaurant,4.5
SJ's International Food Market,4.5
Kaengthai Bistro,4.5
Thai D Jing,4.5
Sa-Bai-Dee,4.5
Thai Ville Restaurant,4.5
Asian Chef Fusion Cuisine,4.0
Palace Asian Restaurant,4.0
The Lemon Grass,4.0
Bangkok Express,4.0
New South Ocean Chinese & Japanese Restaurant,4.0
Manee Thai Restaurant,4.0
Thai Ruby,4.0
Thailand Restaurant,4.0
Sala Thai Cuisine,4.0
Thai Basil II,4.0
The Eastern Peak - North Gulch,4.0
Chabaa Thai Bistro,4.0
Thai Koji Sushi,4.0
Thai Orchid Restaurant,4.0
Syphay Restaurant,4.0
On A Roll Sushi,4.0
Ratchada Thai & Laos Cuisine,4.0
Thai Singha House Express,4.0
Thai Bistro,4.0
White Elephant Restaurant,4.0
Joto Thai-Sushi,4.0
Ban Bamboo,4.0
My Thai Cuisine,4.0
Thai Orchid Restaurant,4.0
Thai Paradise,4.0
Ithai & Sushi Restaurant,4.0
Tuk Tuk Thai Street Food,4.0
Thai Sweet,4.0
Meun Fan Thai Cafe,4.0
Fast Wok,4.0
Sawasdee Thai Restaurant,4.0
Thai Chan,4.0
Liang's Bistro Asian Cuisine,4.0
Akia Japanese Fusion,4.0
Siamese Princess,4.0
Saing Thai Cuisine,4.0
Thai Delight,4.0
Bangkok Jazz Thai Restaurant,4.0
Americana Asian Kitchen,4.0
Teikoku,4.0
Your Choice,4.0
Asiatic Street Food & Noodle Bar,4.0
Thai Kitchen,4.0
Thai Cafe Restaurant,4.0
Jasmine Thai,4.0
Bangkok Restaurant,4.0
Blue Sake,4.0
Thai Chili,4.0
Xiandu Thai,4.0
Thai Spice Express,4.0
MangoMoon,4.0
The Queen and I,4.0
Aziatisch,4.0
MK's Asian Persuasion,4.0
Bangkok City,4.0
Thai Sa-Moot,4.0
Baan Thai,4.0
Siam Cuisine,4.0
Chopstix House,4.0
Sukhothai Restaurant,4.0
Muay Thai Mobile Kitchen,4.0
Simply Thai & Sushi,4.0
Thai Basil,4.0
Siam Lotus,4.0
Thai Island,4.0
Bangkok House Restaurant,4.0
Fame Dish,4.0
Sawatdee Thai Cuisine,4.0
Baan Thai Sabaidee,4.0
Thai 202,4.0
Lai Thai Cuisine,4.0
Bamboo Bistro,4.0
Thai Basil,4.0
Nori Thai,4.0
Thip's Thai Cuisine,4.0
Benjarong Thai,4.0
Thai Spice,4.0
Golden Inn Chinese Restaurant,4.0
Jasmine Thai,4.0
The Eastern Peak,4.0
Thai Sweet Basil,4.0
Thai L' Elephant,4.0
Drunken Noodles Taste Of Thai,4.0
Thai Kitchen,4.0
Kurry Korner,4.0
Thai Terrace,4.0
Bangkok Thai Restaurant,4.0
Kaffir Thai,4.0
Boun Thai Restaurant,4.0
Si-Am Thai,4.0
Veekoo,4.0
MAMA Thai,4.0
Amarit Thai Restaurant,4.0
Thai Phooket II,4.0
Cho Thai,4.0
The Eastern Peak,4.0
Kao Tip,4.0
Bangkok Sushi,4.0
Ginger Thai,4.0
Bangkok Cuisine,4.0
Fork & Stix,4.0
Pad Thai Restaurant,4.0
TAP Thai Cuisine,4.0
Thai Papaya,4.0
Thai Nakorn Cuisine,4.0
Asian Family No 1,4.0
Thai-Am Restaurant,3.5
Kaffir Thai Cuisine,3.5
Thai Basil,3.5
Royal Thai Orchid,3.5
Bangkok Thai 9 Cuisine,3.5
The King & I Restaurant,3.5
Sun Ishi,3.5
Amber Asian Cafe,3.5
Siamese,3.5
Ruby Thai,3.5
Thai Gai Yang Cafe,3.5
Thai Esane,3.5
Singha Thai Cafe,3.5
Joto Thai-Sushi Clearwater,3.5
Flavor,3.5
Siam Cuisine Thai Restaurant III,3.5
La Thai Uptown,3.5
Thai Basil,3.5
Cafe Equator,3.5
Thai Tida By Mike & Natta,3.5
Bangkok Thai,3.5
Tei Too,3.5
Aroi Thai Tsuyu,3.5
Wave Noodle,3.5
Pad Thai Restaurant,3.5
China Wok,3.5
Aqua Malaysian Thai Cuisine,3.5
Asian Bambo,3.5
Ndulge,3.5
The Blue Elephant,3.5
Nooddi Thai Chef,3.5
Koi Sushi & Thai,3.5
Hengs Thai Cuisine,3.5
Nooddi Thai Chef,3.5
Jasmine Rice - Old City,3.5
My Thai,3.5
Thai Esane  - Brentwood,3.5
Sen Thai-Asian Bistro,3.5
Singha Song Thai,3.5
Chef Thai & Sushi,3.5
Jasmine Thai and Sushi Restaurant,3.5
Thai Kitchen,3.5
Pat's Thai Kitchen,3.5
Phu Fha Thai Restaurant,3.5
Bangkok Kitchen,3.5
Lemongrass Sushi & Thai,3.5
Blue Elephant Royal Thai Cuisine,3.5
Thai Cafe,3.5
Thai Coconut,3.5
Tasia Sushi Bar & Thai Cuisine,3.5
Ruby Thai Kitchen,3.5
Justhai,3.5
Royal Palace Thai,3.5
Thai Cafe,3.5
Thai Mekong Restaurant,3.5
Baan Thai,3.5
Umpasri Authentic Thai Cuisine,3.5
Thai Orchid Berwyn,3.5
Roe,3.5
Johnny Chang's,3.5
Trio,3.5
Thai Thani,3.5
Top Thai Restaurant,3.5
Chiang Mai Thai & Sushi Bar,3.5
Royal Thai Restaurant,3.5
Mayuree Cafe,3.5
Somsak Thai Cuisine,3.5
Tuk Tuk Real,3.5
Pattaya Thai Restaurant,3.5
Dharma Sushi & Thai,3.5
Siamese Hut,3.5
Siam Cuisine,3.0
Thai Star,3.0
Wildflowers Garden Restaurant & Thai Corner,3.0
Rice House,3.0
Royal Thai Restaurant,3.0
Sumo's,3.0
Basil Thai Cuisine,3.0
Ruamit Thai Restaurant,3.0
Hong Kong Cafe,3.0
Thai Singha House,3.0
Sukho Thai,3.0
Basil Leaf,3.0
Koi Sushi & Thai,3.0
Dream House Asian Bistro,3.0
Thai Tanic,3.0
Bangkok Cafe,3.0
The King & I Thai Cuisine,3.0
Bua Thai,3.0
Simply Rollie's Thai Ice Cream Rolls,3.0
Asian Fusion Garden,3.0
Coconut Bay Asian Cuisine,3.0
Bhann Thai,3.0
Tivoli Gardens,3.0
Asian Bamboo,3.0
Siam Cuisine Thai Restaurant II,3.0
Ramen Depot,3.0
Ratchada Thai Restaurant and Sushi Bar,2.5
Thai Express - South Edmonton Common,2.5
Royal Thai Restaurant,2.5
Bamboo House,2.5
Asia @ Cafe,2.5
Thaimax,2.5
Thai Express,2.5
JusThai,2.5
Vila Thai Cuisine,2.5
Nooddi-Thai Chef,2.5
Thai Express,2.5
Thai Express,2.5
Mina's Thai,2.5
Sweet Basil Thai Café,2.5
Mai Tai,2.5
Thai House,2.0
Pad Thai Kitchen,2.0
Asian Wok,2.0
