name,stars
MamaMi Vietnamese Kitchen,5.0
Bywater Brew Pub,5.0
Nhon Hoa 2,5.0
Viet's Taste,5.0
Pho Mi Rittenhouse,5.0
Cafe Mi Quang,5.0
Pop Up Café,5.0
V & V Vietnamese Cuisine,5.0
Cafe Couleur,5.0
Q Tea Vietnamese Cafe,5.0
Cafe Cuong,4.5
Banh Mi Cali,4.5
Kaleisia Tea Lounge,4.5
Alésia Restaurant,4.5
Sandra Rice & Noodle,4.5
3J Sandwich & Noodle,4.5
208 Pho & Vegan,4.5
Gulf Seafood,4.5
Pho Asia,4.5
Banh Mi House,4.5
Ong Hanoi Fried Chicken,4.5
Pho Bistreaux,4.5
Pho 88,4.5
Le's Baguette Banh Mi Cafe,4.5
Thien Tan,4.5
Pho Kim Loan,4.5
Cafe Nhan,4.5
Hong Minh,4.5
V Sandwiches,4.5
Cafe Nhan,4.5
DD Mau Vietnamese Eatery,4.5
Ngon Ngon,4.5
Hoang Tofu,4.5
Bui's,4.5
Street Side,4.5
Linh Mi Gia,4.5
H Pho & Cafe,4.5
Daleng Restaurant,4.5
Baker Boss Cafe,4.5
Pholicious,4.5
Saigon Basil,4.5
Pho Viet Hoa,4.5
Little Saigon,4.5
Brooklyn Tomato,4.5
Bualoy Cuisine,4.5
Banh Mi & Roll Factory,4.5
Pho Tau Bay,4.5
VN Pho & Deli,4.5
Thanh Son Restaurant,4.5
Saigon Cafe,4.5
Truc Lam,4.5
Kim Ngan,4.5
DD Mau Vietnamese Eatery,4.5
Dong Phuong,4.5
Saigon Bowl,4.5
Dang Good Restaurant,4.5
Cafe Thanh Truc,4.5
Pho Bowl - Palm Harbor,4.5
Pho 813,4.5
Cafe Diem,4.5
Kho Bo Ngoc Quyen,4.5
Hello Vietnam,4.5
Nhon Hoa Sandwich Bar,4.5
Pho 75,4.5
Hông Minh Noodle House,4.5
Pho Viet 309,4.0
Pho Tau Bay Restaurant,4.0
Pho Hoan Pasteur,4.0
Sizzling Wok Thien Huong,4.0
Pho Orchid Express,4.0
Bravo Pho,4.0
Asian House,4.0
Banh Street Fried Chicken,4.0
Thuy Tien,4.0
LeDalat Vietnamese Cuisine,4.0
Four Seasons Vietnamese Restraurant,4.0
Thai Son,4.0
Pho Nouveau,4.0
Pho Du,4.0
Nam Phuong,4.0
Chopstix Bistreaux Asian Cuisine,4.0
Nhu Y,4.0
EatWell Nola,4.0
BAMBU,4.0
Pho Sunrise,4.0
Asian Cafe,4.0
Sriracha,4.0
Linh-Nam Chinese Restaurant,4.0
Mekong River,4.0
Pho Street,4.0
Dao Tien,4.0
Pho & Beyond,4.0
Pho Nhu Trang,4.0
Pho-ladelphia,4.0
Gabby's Banh Mi,4.0
Cafe Bích Nga,4.0
Pho 9,4.0
Pho Delight Noodle Shop,4.0
Pho 1,4.0
St. Charles Noodle,4.0
Pho So 1,4.0
Hung Phat Vietnamese Noodle House,4.0
Pho Quyen,4.0
PaperMill - Fresh Asian Kitchen,4.0
Mi Linh,4.0
Pho Ha,4.0
Pho Kang,4.0
Pho T & Q Restaurant,4.0
Pho Tasty,4.0
Dong Khanh Vietnamese Restaurant,4.0
Huong Tram,4.0
Saigon 88,4.0
Saigon Restaurant,4.0
Ba Chi Canteen,4.0
Taste of Saigon,4.0
Nhon Hoa Sandwich Bar,4.0
Taiko Bistro,4.0
Wok This Way,4.0
Ha Phuong's Vietnamese Restaurant,4.0
Melody's Casual Vietnamese,4.0
Xu Hue,4.0
Pho Cyclo Cafe,4.0
Pho Washington,4.0
O Sandwiches,4.0
Pho King,4.0
Blueplate,4.0
Rice Paper Fine Vietnamese Restaurant,4.0
Viet Thai Cuisine,4.0
Mopho,4.0
Bahn Mi Nhon Hoa,4.0
999 Pho,4.0
ICHI Japanese Ramen House,4.0
Vietnam Palace,4.0
Mini Mango,4.0
La Pagode,4.0
Mtq Cafe,4.0
Yummy Pho Bac,4.0
Pho Street,4.0
Phoevermore,4.0
Hanoi Cuisine,4.0
Saigon Noodle Bar,4.0
Pho Kim Long,4.0
Saigon Flavours,4.0
Mai Lee,4.0
Binto,4.0
Eggroll Queen Cafe,4.0
Pho City,4.0
Dao Tien - Downtown,4.0
Pho 60,4.0
Phi Vietnamese,4.0
Back Street Bistro,4.0
Pholicious,4.0
Banh Mi Sao Mai,4.0
Pholosophy,4.0
Pho Bar,4.0
Ha Long Bay,4.0
Pho Bang,4.0
Song Huong Restaurant,4.0
Pho Ha Tien,4.0
Nam Phuong Bistro,4.0
Trang Viet Cuisine,4.0
Com Tam Thuan Kieu,4.0
Stock,4.0
Cô Dô Hue Dine In & Take Out,4.0
Pho Ha Saigon,4.0
Saigon Pearl,4.0
Golden Bird Restaurant,4.0
Cafe Saigon,4.0
9 Roses Cafe,4.0
Pho Hoa,4.0
Tu's Tea & Banh Mi South Philly,4.0
Asian Legend Vietnamese Cuisine,4.0
Pho Ha & Hoa,3.5
Quan's Cafe,3.5
Saigon Diner,3.5
Pho Kitch'n,3.5
Pho Queen,3.5
Doan's Vietnamese Restaurant,3.5
House of Pho,3.5
Lotus Vietnamese Cuisine,3.5
Pho Song Huong Vietnamese Restaurant,3.5
Delicious Pho,3.5
Midland Wok,3.5
The Phat Noodle,3.5
Pho 38,3.5
Pho Viet,3.5
Pho Quyen,3.5
Thang Long Vietnamese Food,3.5
Pholicious Countryside Mall,3.5
Lee Garden,3.5
BT In a Box,3.5
Pholicious,3.5
Noodle Xtreme,3.5
Phu Khang,3.5
Bamboo Bistro,3.5
Kings Noodle & Hot Pot,3.5
Saigon Flavours,3.5
Pho 777 Vietnamese Noodle Restaurant,3.5
Saigon In and Out,3.5
Hoa An Restaurant,3.5
Pho Hoa Noodle Soup,3.5
Tamarind - The Hotel Modern New Orleans,3.5
LemonGrass,3.5
Pho,3.5
Mekong Vietnamese Restaurant,3.5
Miss Saigon Marana,3.5
Pho Cali Vietnamese Restaurant,3.5
Asian Pho,3.5
Ba Mien Restaurant,3.5
Pagolac Restaurant,3.5
Mekong Fresh Noodle & Grill,3.5
BluWave Sushi,3.5
Pho Quyen Vietnamese Restaurant,3.5
A Taste of Vietnam,3.5
Vietnam House,3.5
Pho 21,3.5
Kim's Noodle House,3.5
Thanh Tam Vietnamese Noodle House,3.5
Pho Noodle,3.5
Thanh Thanh Restaurant,3.5
Chinese Combo,3.5
9 Grill,3.5
Pho Ta Restaurant,3.5
Nhatrang Vietnamese Restaurant,3.5
Viet Pho - Reno,3.5
Daly Angkor,3.5
Double Dragon III,3.5
Vui’s Kitchen,3.5
Pho Saigon,3.5
Asian Sandwich Deli,3.5
Pho Ever Noodles & Grill,3.5
Kim Son Seafood,3.5
Pho Ga Quang Minh,3.5
Saigon Cuisine,3.5
NAM Vietnamese Kitchen,3.5
Saigon Pho,3.5
Black Eye Take Out,3.5
Ashley's Noodle House,3.5
IPho and Grill,3.5
Viet Pho,3.0
Lee House,3.0
Minh Bistro,3.0
Green Papaya,3.0
Pho 79,3.0
Ha Long Bay,3.0
Mai Vietamese Fusion,3.0
P.F. Chang's,3.0
Phoenix Restaurant,3.0
Viet Pho,3.0
Hoang Long Noodle House,3.0
Tien Thai Pho,3.0
PhoXpress Vietnamese Noodle House,3.0
Pho Hoa Fusion Noodle House,3.0
Saigon Vietnamese Restaurant,3.0
Pho Rice Pot,3.0
Marigny Pho,3.0
Saigon Cuisine,3.0
Mongolian Bar-B-Que Buffet,3.0
Thanh Trúc Bistro,3.0
Golden Flower Vietnamese,3.0
North Star Eatery,3.0
Pho Saigon,3.0
Maxim Place,3.0
Viet Kitchen,3.0
MLT,2.5
Pho Bensalem,2.5
Pho Langs,2.5
Pho Hoa,2.5
MoPho,2.5
PhoXpress,2.5
Pholicious,2.5
Phonatics Vietnamese Restaurant,2.5
Pho Le,2.0
Viet Xpress,2.0
Saigon Cafe,2.0
Got Pho,1.5
