name,stars
Charlie's Crepes,5.0
Nick's Pizzeria,5.0
Groovy Pizza And Cafe,5.0
Humble Plant-Based Cafe + Bakery,5.0
Taqueria Tablas,5.0
Ravello Woodfire Pizza,5.0
Speckled Egg Cafe,5.0
Yoho Mongolian Grill,5.0
Rosalia’s Pizza,5.0
Versi Vino,5.0
Famous Sgt Bob Smoke BBQ and Grill,5.0
Desserts by Design,5.0
Cafe Lucky Bones,5.0
Gyro Express,5.0
MamaMi Vietnamese Kitchen,5.0
Savory Leaf Cafe,5.0
Groark Boys’ BBQ,5.0
Fevzi's Mediterranean Grill,5.0
Reggina Gelato & Espresso Bar,5.0
Town & Country Golf Links,5.0
Kalman's Bakery,5.0
Del Buono's Bakery,4.5
Bus Stop Music Cafe,4.5
Dinner Bell,4.5
El Jacalito,4.5
Alfred's Tomato Pie,4.5
Jim's Family Style Pizza,4.5
Peace of Cake,4.5
Marina’s Pizzeria,4.5
Cross Culture,4.5
Gallery Pizza,4.5
Papa's Pizza,4.5
Bistro DiMarino,4.5
Shef's Steaks & Burgers,4.5
De Lorenzo's Tomato Pies,4.5
Rodriguez Peruvian Restaurant,4.5
Olden Deli,4.5
Two Fish BYOB,4.5
Naruto Sushi,4.5
Espressit Coffee House,4.5
Menchie's Frozen Yogurt,4.5
Entenmann's Bakery Outlet,4.5
Angelo’s Trattoria,4.5
Elis's Pizzeria,4.5
Napoleon's Cremepuffery,4.5
Eden Korean Restaurant,4.5
el mercadito,4.5
Vincent's,4.5
Mia’s Meals,4.5
Ajika Ramen,4.5
Andrea Trattoria,4.5
Hiptown Grill,4.5
El Nopalito,4.5
The Kaffee Korner,4.5
Briglia's Tavern,4.5
Monalisia,4.5
Grace Bistro,4.5
Cattani Catering & Kitchen,4.5
Pizza Crime,4.5
Ephesus Grill,4.5
Dawn's Deli,4.5
Hot On D Spot,4.5
Kokoro Ramen,4.5
The Country Crock Restaurant,4.5
Hunan East,4.5
Golden Dragon,4.5
Mama's Meatballs,4.5
Timeout Entertainment and Grill,4.5
Domino's Pizza,4.5
Aztlan Mexican Grill,4.5
Ma &  Pa’s Tex-Mex BBQ,4.5
Kitchen87,4.5
Pizzo Bros Deli,4.5
Papa Thai Chef,4.5
J S Breakfast,4.5
Dutch Wagon Amish Market,4.5
Somerdale Cold Cuts,4.5
Shogun Japanese Cuisine,4.5
373 American Grill,4.5
Dar’s Steaks,4.5
Mama Marie's Italian Market,4.5
Trywith,4.5
Pho Asia,4.5
Hurc's,4.5
Francesco's Pizzeria & Ristorante,4.5
Sap's Produce Shack,4.5
537 Subs & More,4.5
Island Jerk,4.5
Skewers,4.5
CK Cafe,4.5
Classic Asia,4.5
Park Place Café and Restaurant,4.5
June BYOB,4.5
Maria's Mexican Restaurant,4.5
Toscano Ristorante,4.5
Deli & Pizza Shop,4.5
Dredge Harbor Dockside Cafe,4.5
Porch & Proper,4.5
Mighty Joe's Gas Grill & Deli,4.5
Petra Market,4.5
Mare Monte,4.5
Sweet Amalia Market & Kitchen,4.5
King of Steaks,4.5
Zizi's,4.5
Talk N Coffee,4.5
Hearthside,4.5
Scotto’s Pizza,4.5
Pats Select Pizza | Grill,4.5
Pitman Bakery,4.5
Nene Italian Market,4.5
Express Shish Kabab,4.5
Dad's Deli & Catering,4.5
Tj's Pizzeria,4.5
Benny's Pizza,4.5
Mister China,4.5
Tang's Garden Chinese Restaurant,4.5
Angelina Trattoria,4.5
The Little Hen,4.5
Lexi Lu's Cafe,4.5
The Meadows Original Frozen Custard,4.5
King of Pizza,4.5
L'Oceano Ristorante,4.5
Crazy Crab,4.5
Chive Cafe,4.5
The Whiskey Barrel,4.5
Old Nelson Food company,4.5
Bayou Seafood,4.5
Bellisimo's Pizza,4.5
Manila Cafe & Asian Mart,4.5
Peking Gourmet Chinese Restaurant,4.5
Jing’s Sushi House,4.5
Tacos Cancun,4.5
